Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Reliance Industries Ltd","Oil & Gas - Refining & Marketing","1835603.57","26.37","-7.17","1.98","2.00","12.44","11.56","0.37","9.41","97.93"
"Tata Consultancy Services Ltd","IT Services & Consulting","1486672.16","32.38","6.76","16.28","6.06","21.41","33.53","1.78","9.54","126.17"
"HDFC Bank Ltd","Private Banks","1276741.66","19.93","12.52","2.72","3.13","13.32","66.95","1.16","17.59","97.24"
"Bharti Airtel Ltd","Telecom Services","1018735.88","136.43","34.93","9.65","6.61","16.58","12.91","0.44","-8.77","12.85"
"ICICI Bank Ltd","Private Banks","867675.85","19.61","19.81","3.21","3.68","11.52","5.52","0.81","29.34","63.20"
"Infosys Ltd","IT Services & Consulting","815167.40","31.07","32.44","9.21","5.15","19.35","32.34","2.34","9.57","63.39"
"State Bank of India","Public Banks","723831.31","10.79","10.15","1.68","1.22","4.34","33.46","-","20.55","75.17"
"Hindustan Unilever Ltd","FMCG - Household Products","643470.81","62.61","22.68","12.51","10.23","40.90","41.60","1.53","1.55","43.74"
"ITC Ltd","FMCG - Tobacco","611496.50","29.89","16.20","8.17","8.30","20.39","35.60","2.81","5.91","16.42"
"Life Insurance Corporation Of India","Insurance","590185.54","14.42","-2.72","7.12","0.69","11.55","22.59","1.07","13.67","64.69"
"HCL Technologies Ltd","IT Services & Consulting","505451.57","32.19","26.65","7.40","4.54","18.84","22.52","2.79","5.73","57.86"
"Larsen and Toubro Ltd","Construction & Engineering","490914.43","37.59","0.76","4.79","2.18","17.00","26.88","0.95","26.08","93.95"
"Sun Pharmaceutical Industries Ltd","Pharmaceuticals","453366.34","47.34","25.98","6.76","9.09","31.76","37.36","0.71","13.01","39.91"
"Bajaj Finance Ltd","Consumer Finance","426726.86","29.53","0.09","5.56","7.76","35.49","-","0.52","24.07","236.43"
"NTPC Ltd","Power Generation","405078.23","19.46","21.02","2.45","2.20","11.29","9.93","1.86","23.06","21.46"
"Maruti Suzuki India Ltd","Four Wheelers","381802.63","28.31","-2.42","4.46","2.61","16.40","22.72","1.03","59.96","437.59"
"Kotak Mahindra Bank Ltd","Private Banks","370603.74","20.35","4.72","2.85","3.93","12.39","23.63","0.11","21.93","91.65"
"Mahindra and Mahindra Ltd","Four Wheelers","355226.78","31.52","46.39","4.47","2.49","15.88","-","0.66","9.48","97.44"
"Oil and Natural Gas Corporation Ltd","Oil & Gas - Exploration & Production","354260.66","7.20","3.34","0.97","0.58","4.26","3.57","4.35","34.08","39.13"
"Axis Bank Ltd","Private Banks","350145.00","13.27","16.88","2.22","2.54","6.40","-","0.09","143.23","85.62"
"Adani Enterprises Ltd","Commodities Trading","347841.22","107.37","-0.57","7.87","3.54","32.72","33.73","0.04","29.16","28.42"
"Tata Motors Ltd","Four Wheelers","328197.23","10.45","-6.30","3.53","0.74","5.88","4.83","0.62","1199.95","94.50"
"UltraTech Cement Ltd","Cement","317518.14","45.33","17.98","5.27","4.44","23.84","29.14","0.64","38.33","242.65"
"Power Grid Corporation of India Ltd","Power Transmission & Distribution","307989.50","19.78","18.55","3.53","6.55","10.48","8.26","3.40","0.99","16.74"
"Hindustan Aeronautics Ltd","Aerospace & Defense Equipments","302192.67","39.65","23.05","10.37","9.35","23.63","36.75","0.77","30.77","113.96"
"Coal India Ltd","Mining - Coal","301912.06","8.07","12.22","3.61","2.00","4.89","16.68","5.21","17.75","60.69"
"Titan Company Ltd","Precious Metals Jewellery & Watches","301892.55","86.35","-4.08","32.14","5.85","53.94","178.11","0.32","7.44","39.28"
"Adani Ports and Special Economic Zone Ltd","Ports","301274.58","37.15","8.49","5.51","10.68","21.14","20.06","-","51.09","37.55"
"Asian Paints Ltd","Paints","292954.74","53.65","6.57","15.08","8.07","34.72","48.00","1.09","32.97","56.92"
"Bajaj Finserv Ltd","Insurance","289377.46","35.52","14.18","2.79","2.62","27.36","-","0.06","26.86","51.14"
"Bajaj Auto Limited","Two Wheelers","282593.34","36.66","11.56","9.76","6.07","26.58","43.09","0.79","29.50","274.25"
"Wipro Ltd","IT Services & Consulting","276300.06","25.02","23.47","3.70","2.99","13.01","15.68","0.19","-0.35","20.62"
"Siemens Ltd","Conglomerates","274841.15","140.16","39.85","20.99","13.69","89.62","196.32","0.13","27.09","55.06"
"Adani Green Energy Ltd","Renewable Energy","274599.95","249.64","-2.22","15.74","25.55","39.31","35.60","-","12.22","6.94"
"Trent Ltd","Retail - Apparel","274423.88","184.57","90.06","66.89","20.53","92.98","203.43","0.04","234.39","41.82"
"Avenue Supermarts Ltd","Retail - Department Stores","266000.16","104.88","-13.84","14.23","5.22","62.55","96.87","-","6.39","39.05"
"JSW Steel Ltd","Iron & Steel","238956.50","27.12","17.50","2.99","1.35","10.68","19.78","0.93","111.38","29.02"
"Zomato Ltd","Online Services","235546.83","671.07","39.01","11.54","18.17","263.53","364.62","-","133.95","0.41"
"Adani Power Ltd","Power Generation","234926.15","11.28","2.22","5.42","3.90","9.31","16.58","0.01","94.18","54.00"
"Indian Oil Corporation Ltd","Oil & Gas - Refining & Marketing","231983.70","5.56","-2.16","1.23","0.30","4.39","3.26","7.12","326.16","30.30"
"Nestle India Ltd","FMCG - Foods","229344.06","58.32","-4.56","68.65","9.06","38.32","54.94","1.35","1211.59","40.79"
"Hindustan Zinc Ltd","Mining - Diversified","214730.71","27.68","25.08","14.13","7.16","14.49","16.09","2.56","-26.22","18.35"
"DLF Ltd","Real Estate","213124.34","78.15","2.23","5.40","30.63","80.30","83.95","0.58","33.96","11.02"
"Jio Financial Services Ltd","Consumer Finance","209118.35","130.33","-12.70","1.50","91.59","100.21","-","-","-96.74","5.05"
"Bharat Electronics Ltd","Electronic Equipments","207999.76","52.20","24.23","12.73","9.93","34.44","44.64","0.77","33.51","5.45"
"Indian Railway Finance Corp Ltd","Specialized Finance","194877.56","30.39","4.04","3.96","7.31","94.44","24.62","1.01","3.97","4.91"
"Varun Beverages Ltd","Soft Drinks","191152.18","92.98","5.29","26.98","11.86","52.88","79.95","0.17","37.29","6.33"
"Tata Steel Ltd","Iron & Steel","190249.02","-42.87","-2.91","2.06","0.82","16.52","9.37","2.36","-150.12","-3.60"
"LTIMindtree Ltd","IT Services & Consulting","189355.93","41.33","27.56","9.46","5.23","25.65","33.40","1.02","3.87","154.85"
"Vedanta Ltd","Metals - Diversified","184318.10","43.48","23.77","4.38","1.23","6.61","5.17","5.95","-59.91","11.40"
"ABB India Ltd","Heavy Electrical Equipments","184163.21","148.27","37.89","30.98","17.13","100.24","136.27","0.27","22.22","58.61"
"Grasim Industries Ltd","Cement","181558.03","32.28","24.03","1.31","1.37","12.23","-","0.36","-17.46","85.25"
"Interglobe Aviation Ltd","Airlines","178612.27","21.86","29.89","89.47","2.51","10.58","8.42","-","2770.15","211.85"
"SBI Life Insurance Company Ltd","Insurance","170527.46","90.05","17.10","11.44","1.28","76.96","5.86","0.16","10.01","18.92"
"Tech Mahindra Ltd","IT Services & Consulting","166221.59","70.50","43.08","6.12","3.14","29.76","26.07","2.12","-51.33","26.76"
"Hindalco Industries Ltd","Metals - Aluminium","164401.61","16.19","22.96","1.55","0.76","8.00","6.83","0.48","0.04","45.18"
"Divi's Laboratories Ltd","Labs & Life Sciences Services","161335.87","100.83","62.37","11.89","19.71","61.83","127.94","0.49","-12.28","60.27"
"Pidilite Industries Ltd","Diversified Chemicals","160439.59","92.77","10.87","18.62","12.81","57.24","58.90","0.51","35.78","34.01"
"HDFC Life Insurance Company Ltd","Insurance","156233.58","99.25","22.59","10.65","1.53","147.37","14.57","0.28","14.02","7.32"
"Power Finance Corporation Ltd","Specialized Finance","154923.28","7.84","19.53","1.15","1.69","31.11","-","2.88","24.37","59.88"
