Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Bharat Petroleum Corporation Ltd","Oil & Gas - Refining & Marketing","148680.58","5.54","16.18","1.97","0.33","4.09","4.14","6.03","1158.34","62.96"
"Gail (India) Ltd","Gas Distribution","145979.92","14.75","8.78","1.89","1.07","9.79","11.60","2.48","77.41","15.06"
"Britannia Industries Ltd","FMCG - Foods","144243.98","67.41","25.39","36.37","8.49","42.69","56.06","1.23","-7.84","88.84"
"Tata Power Company Ltd","Power Transmission & Distribution","143854.19","38.92","5.54","3.75","2.22","13.63","11.42","0.44","10.78","11.56"
"REC Limited","Specialized Finance","142812.90","10.10","27.43","2.06","3.00","32.55","-","2.95","26.67","53.72"
"Samvardhana Motherson International Ltd","Auto Parts","142773.46","52.56","63.00","5.06","1.44","16.66","18.86","0.38","81.61","4.01"
"Ambuja Cements Ltd","Cement","140705.93","39.34","-6.71","2.77","4.07","17.82","24.92","0.31","31.44","17.10"
"Godrej Consumer Products Ltd","FMCG - Personal Products","137818.56","-245.86","14.91","10.94","9.59","185.34","66.58","0.74","-132.92","-5.48"
"CG Power and Industrial Solutions Ltd","Heavy Electrical Equipments","127965.02","89.67","54.81","42.39","14.58","69.28","322.34","0.16","44.09","9.34"
"TVS Motor Company Ltd","Two Wheelers","127287.72","75.48","39.94","16.95","3.24","27.01","-","0.30","26.92","35.50"
"Eicher Motors Ltd","Trucks & Buses","126721.56","31.67","9.52","7.02","7.02","21.68","34.03","1.10","37.21","146.21"
"Cipla Ltd","Pharmaceuticals","125879.90","30.54","15.17","4.70","4.75","17.66","30.45","0.83","47.05","51.06"
"Bank of Baroda Ltd","Public Banks","125126.28","6.67","-4.26","1.04","0.88","0.94","-","3.15","25.91","36.20"
"Adani Energy Solutions Ltd","Power Infrastructure","122729.04","107.91","0.44","8.96","7.13","25.02","20.33","-","-10.11","10.20"
"Shriram Finance Ltd","Consumer Finance","122526.31","16.63","41.04","2.47","3.36","29.16","-","1.38","5.35","196.38"
"Cholamandalam Investment and Finance Company Ltd","Consumer Finance","122414.62","35.79","30.52","6.25","6.30","52.57","-","0.14","26.88","41.12"
"JSW Energy Ltd","Power Generation","118019.44","68.51","7.69","5.62","9.87","24.68","18.93","0.28","16.55","10.50"
"Punjab National Bank","Public Banks","117756.70","12.93","-20.29","1.06","0.96","-","-","1.40","171.98","8.27"
"Macrotech Developers Ltd","Real Estate","116398.35","75.14","-1.73","6.63","11.12","44.05","46.33","0.19","213.18","15.82"
"Bajaj Holdings and Investment Ltd","Asset Management","115775.86","15.93","29.29","1.84","15.10","16.54","59.64","1.26","49.82","652.98"
"Bajaj Housing Finance Ltd","Consumer Finance","115119.97","66.50","-15.56","9.41","15.11","83.69","-","-","18.89","2.58"
"Torrent Pharmaceuticals Ltd","Pharmaceuticals","114958.07","69.40","35.44","16.77","10.57","33.58","35.20","0.82","33.02","48.94"
"Havells India Ltd","Electrical Components & Equipments","113197.46","89.08","23.83","15.20","6.01","51.86","57.96","0.50","18.53","20.28"
"Dr Reddy's Laboratories Ltd","Pharmaceuticals","111684.53","20.02","13.16","3.95","3.86","12.16","24.58","0.60","23.61","334.66"
"United Spirits Ltd","Alcoholic Beverages","111150.12","78.94","32.24","15.61","9.60","49.61","99.42","0.59","23.77","19.36"
"Tata Consumer Products Ltd","Tea & Coffee","107859.83","93.76","-2.44","6.19","6.98","49.95","55.69","0.68","-6.03","12.08"
"Bosch Ltd","Auto Parts","107607.25","43.19","22.98","8.92","5.88","28.48","85.89","1.03","74.77","844.69"
"Mankind Pharma Ltd","Pharmaceuticals","107526.88","56.21","10.50","11.23","10.11","36.89","49.96","-","49.23","47.75"
"Polycab India Ltd","Electrical Components & Equipments","107087.92","60.03","33.59","12.99","5.86","38.74","82.61","0.42","40.02","118.94"
"ICICI Prudential Life Insurance Company Ltd","Insurance","106190.31","124.83","23.71","9.65","1.16","93.34","-","0.08","4.45","5.91"
"Indian Overseas Bank","Public Banks","105796.80","39.69","-9.71","3.84","3.56","23.14","-","-","26.70","1.41"
"Indusind Bank Ltd","Private Banks","104957.63","11.69","-8.62","1.66","1.90","5.47","-","1.22","20.32","115.52"
"Hero MotoCorp Ltd","Two Wheelers","104338.63","27.86","22.70","5.85","2.70","16.89","21.19","2.68","33.22","187.35"
"Info Edge (India) Ltd","Online Services","103176.52","179.38","41.47","3.26","34.97","101.40","146.91","0.28","634.63","44.57"
"Zydus Lifesciences Ltd","Pharmaceuticals","102721.40","26.62","9.12","4.65","5.17","18.40","31.82","0.29","98.59","38.24"
"Cummins India Ltd","Industrial Machinery","102342.24","59.48","18.76","15.48","10.63","41.73","79.62","1.03","40.10","62.07"
"Rail Vikas Nigam Ltd","Specialized Finance","102082.58","64.84","83.65","11.67","4.40","39.72","34.55","-","17.33","7.55"
"Indus Towers Ltd","Telecom Infrastructure","101492.71","16.81","11.66","3.75","3.37","7.60","8.76","-","195.89","22.40"
"Dabur India Ltd","FMCG - Personal Products","101473.69","55.07","13.41","9.85","7.87","35.02","50.40","0.96","7.81","10.41"
"Solar Industries India Ltd","Commodity Chemicals","101113.14","120.96","34.23","29.50","16.54","72.04","71.91","0.08","10.40","92.38"
"HDFC Asset Management Company Ltd","Asset Management","101011.68","52.00","24.85","14.28","31.93","39.95","62.56","1.48","36.47","91.01"
"ICICI Lombard General Insurance Company Ltd","Insurance","100952.72","52.62","18.18","8.27","4.90","37.43","41.95","0.54","10.76","39.00"
"Apollo Hospitals Enterprise Ltd","Hospitals & Diagnostic Centres","100495.41","111.84","14.96","13.73","5.24","41.86","52.34","0.23","9.71","62.50"
"Oracle Financial Services Software Ltd","Software Services","99777.18","44.96","49.93","12.70","14.86","30.17","55.72","2.08","22.58","256.47"
"Suzlon Energy Ltd","Renewable Energy Equipment & Services","99623.83","150.87","75.43","25.41","15.15","98.02","1252.66","-","-80.00","0.51"
"Lupin Ltd","Pharmaceuticals","99270.47","51.85","36.74","6.91","4.93","25.50","27.21","0.37","344.56","42.05"
"Indian Hotels Company Ltd","Hotels Resorts & Cruise Lines","97832.50","77.70","15.72","9.66","14.07","42.32","50.56","0.25","25.45","8.85"
"Jindal Steel And Power Ltd","Iron & Steel","94095.49","15.85","6.47","2.10","1.86","10.26","15.66","0.21","87.88","59.17"
"Torrent Power Ltd","Power Transmission & Distribution","93230.04","50.86","30.59","7.40","3.38","21.22","21.89","0.82","-13.42","38.14"
"Canara Bank Ltd","Public Banks","92974.18","6.09","-10.30","1.00","0.67","-","6.18","3.14","35.75","16.84"
"Hindustan Petroleum Corp Ltd","Oil & Gas - Refining & Marketing","92209.19","5.76","35.64","1.97","0.21","5.35","3.87","4.85","329.43","75.19"
"Colgate-Palmolive (India) Ltd","FMCG - Personal Products","91665.96","69.25","27.30","48.91","15.92","46.16","76.45","1.28","26.40","48.67"
"GMR Airports Ltd","Construction & Engineering","91430.17","-163.48","7.20","-107.41","9.58","32.71","23.56","-","-211.99","-0.93"
"Max Healthcare Institute Ltd","Hospitals & Diagnostic Centres","91113.08","86.15","20.47","10.84","15.49","54.67","81.22","0.16","-4.27","10.89"
"Dixon Technologies (India) Ltd","Home Electronics & Appliances","90537.85","246.19","105.14","52.30","5.11","123.31","154.95","-","43.34","61.61"
"Bharat Heavy Electricals Ltd","Heavy Electrical Equipments","88514.05","313.63","0.26","3.62","3.61","69.14","-","0.10","-56.86","0.81"
"Shree Cement Ltd","Cement","87478.13","36.51","-0.41","4.22","4.14","16.32","26.13","0.43","88.53","663.98"
"IDBI Bank Ltd","Private Bank","87266.50","15.08","-1.76","1.70","2.87","6.85","-","1.85","56.18","5.38"
"Tube Investments of India Ltd","Cycles","86291.11","71.87","27.64","12.79","4.87","31.30","127.81","0.08","25.57","62.13"
"Marico Ltd","FMCG - Personal Products","86242.81","58.23","32.17","20.69","7.68","39.62","60.06","1.42","13.75","11.47"
"Godrej Properties Ltd","Real Estate","85759.92","118.25","23.49","8.33","19.66","76.91","-","-","26.92","26.09"
"Mazagon Dock Shipbuilders Ltd","Shipbuilding","85472.19","44.13","109.69","13.69","8.09","28.31","125.01","-","73.09","96.04"
"Oil India Ltd","Oil & Gas - Exploration & Production","85413.18","13.48","32.65","1.62","2.49","8.95","7.81","1.84","-27.42","38.95"
"NHPC Ltd","Renewable Energy","85332.57","23.54","-6.00","1.94","7.29","17.47","12.30","2.24","-7.14","3.61"
"Aurobindo Pharma Ltd","Pharmaceuticals","85299.43","26.88","32.14","2.86","2.89","13.83","35.04","0.31","64.62","54.15"
"Union Bank of India Ltd","Public Banks","85137.60","6.17","-21.28","0.87","0.72","-","4.27","3.23","53.15","19.07"
"Persistent Systems Ltd","Software Services","84697.82","77.46","43.24","17.08","8.51","46.49","69.35","0.47","18.41","47.57"
"Adani Total Gas Ltd","Gas Distribution","80847.04","121.12","-20.38","22.58","17.82","70.30","84.65","0.03","22.14","6.07"
"Muthoot Finance Ltd","Consumer Finance","78504.26","18.15","18.91","3.05","5.18","23.18","-","-","19.69","107.72"
"Prestige Estates Projects Ltd","Real Estate","77255.77","56.22","43.98","6.55","8.19","21.64","59.55","-","45.90","34.28"
"PB Fintech Ltd","Online Services","76432.84","1141.13","38.62","13.01","20.02","392.28","8836.17","-","113.72","1.49"
"Kalyan Jewellers India Ltd","Precious Metals Jewellery & Watches","75078.87","125.68","78.78","17.93","4.03","54.51","56.80","0.16","37.93","5.80"
"Bharti Hexacom Ltd","Telecom Services","75022.50","148.74","55.46","16.17","10.22","25.04","21.16","0.27","-8.16","10.09"
"Alkem Laboratories Ltd","Pharmaceuticals","72014.00","40.10","31.86","6.72","5.55","29.61","36.97","0.66","82.47","150.19"
"Linde India Ltd","Commodity Chemicals","71618.28","164.98","16.42","20.65","25.10","89.77","163.90","0.14","-19.32","50.90"
"SBI Cards and Payment Services Ltd","Payment Infrastructure","70393.82","29.23","1.95","5.83","4.03","31.37","-","0.34","6.18","25.39"
"Indian Railway Catering and Tourism Corporation Ltd","Online Services","69740.00","62.77","-11.27","21.59","15.70","42.96","79.06","0.75","10.46","13.89"
"Oberoi Realty Ltd","Real Estate","69218.96","35.93","38.05","5.00","14.34","25.70","24.63","0.21","1.16","52.99"
"Indian Bank","Public Banks","69072.31","8.20","1.45","1.15","1.08","2.33","-","2.34","45.18","64.95"
"General Insurance Corporation of India","Insurance","68921.60","10.31","17.10","1.25","1.48","5.55","6.18","-","-3.21","38.11"
"Bharat Forge Ltd","Iron & Steel","68492.74","72.01","24.33","9.56","4.30","26.53","41.15","0.17","80.02","20.42"
"PI Industries Ltd","Diversified Chemicals","67704.14","40.26","22.71","7.75","8.59","28.46","33.26","0.34","36.76","110.70"
"JSW Infrastructure Ltd","Ports","67288.88","58.21","33.47","8.18","16.69","30.41","37.32","0.17","45.25","5.83"
"SRF Ltd","Diversified Chemicals","67079.46","50.22","-8.07","5.84","5.07","26.73","32.04","0.32","-38.23","44.91"
"Hitachi Energy India Ltd","Heavy Electrical Equipments","66974.28","408.93","87.39","49.25","12.76","182.07","265.44","0.03","74.42","38.64"
"Supreme Industries Ltd","Plastic Products","66614.80","62.27","20.52","13.04","6.46","38.07","47.15","0.57","23.62","84.21"
"NMDC Ltd","Mining - Iron Ore","65651.43","11.78","-1.60","2.56","2.89","6.76","8.88","-","20.18","19.01"
"Yes Bank Ltd","Private Banks","65514.99","50.98","-11.76","1.55","1.99","22.18","6.79","-","63.39","0.45"
"Berger Paints India Ltd","Paints","65068.91","55.72","7.84","12.07","5.76","33.21","40.90","0.63","35.86","10.02"
"Ashok Leyland Ltd","Trucks & Buses","64472.20","25.96","31.57","5.46","1.38","12.47","-","2.25","100.47","8.46"
"Vodafone Idea Ltd","Telecom Services","63078.33","-2.02","-31.67","-0.61","1.45","17.03","3.03","-","12.81","-6.32"
"Patanjali Foods Ltd","Packaged Foods & Meats","63048.64","82.40","25.63","6.18","1.97","40.78","36.11","-","-21.58","21.14"
"Schaeffler India Ltd","Auto Parts","62684.81","69.73","22.91","13.04","8.50","42.42","70.87","0.65","2.25","57.52"
"Jindal Stainless Ltd","Iron & Steel","62622.20","23.08","10.08","4.36","1.61","13.20","13.00","0.26","5.10","32.95"
"Voltas Ltd","Home Electronics & Appliances","60704.11","240.89","44.41","10.37","4.77","102.04","79.72","0.30","86.65","7.62"
"Abbott India Ltd","Pharmaceuticals","60287.88","50.19","12.06","16.30","9.85","34.23","49.71","1.45","26.52","565.30"
"Fertilisers And Chemicals Travancore Ltd","Fertilizers & Agro Chemicals","59090.61","404.23","38.35","42.95","11.24","183.66","212.19","-","-76.15","2.26"
"Indian Renewable Energy Development Agency Ltd","Specialized Finance","58515.33","46.73","32.48","6.84","11.78","62.64","-","-","33.09","5.04"
"Mphasis Ltd","IT Services & Consulting","58267.74","37.48","32.50","6.63","4.32","21.37","26.73","-","-5.37","82.40"
"Phoenix Mills Ltd","Real Estate","58042.05","52.80","2.07","4.69","14.12","27.53","26.85","0.15","-17.70","30.76"
"BSE Ltd","Stock Exchanges & Ratings","57637.16","74.05","53.71","16.68","27.49","46.11","20.28","0.35","252.60","57.48"
"Thermax Limited","Industrial Machinery","57541.37","89.17","9.61","12.96","5.94","51.13","232.68","0.23","43.30","57.30"
"Balkrishna Industries Ltd","Tires & Rubber","57429.70","39.03","28.46","6.49","5.85","21.85","27.58","0.54","39.16","76.12"
"Aditya Birla Capital Ltd","Diversified Financials","56920.06","17.07","9.97","1.99","1.63","34.61","-","-","-33.01","13.29"
"Motilal Oswal Financial Services Ltd","Diversified Financials","55631.49","22.79","97.48","6.34","7.80","18.43","-","0.46","162.05","41.10"
"L&T Technology Services Ltd","Software Services","55487.38","42.56","-2.76","10.38","5.63","25.15","37.17","0.95","7.44","123.41"
"MRF Ltd","Tires & Rubber","55055.02","26.45","0.16","3.30","2.16","12.07","16.68","0.15","170.66","4907.21"
"UNO Minda Ltd","Auto Parts","55033.60","62.52","32.72","10.45","3.85","31.02","56.19","0.21","34.36","15.35"
"UCO Bank","Public Banks","53933.33","32.27","-14.70","1.98","2.15","8.74","53.84","0.62","-8.47","1.40"
"Procter & Gamble Hygiene and Health Care Ltd","FMCG - Personal Products","53842.95","79.76","-0.18","56.91","12.65","51.71","65.20","-","-0.46","207.95"
"Sundaram Finance Ltd","Consumer Finance","53302.70","37.12","11.32","4.81","7.32","48.57","-","0.62","8.15","130.31"
"Fsn E-Commerce Ventures Ltd","Wellness Services","53229.12","1650.00","10.62","41.55","8.30","143.24","212916.49","-","67.16","0.11"
"Container Corporation of India Ltd","Logistics","52941.59","42.00","-5.58","4.43","5.75","21.48","38.13","1.32","7.38","20.69"
"Steel Authority of India Ltd","Iron & Steel","52800.50","17.22","-10.89","0.92","0.49","7.49","18.14","-","40.90","7.42"
"Petronet LNG Ltd","Oil & Gas - Storage & Transportation","52635.00","14.41","15.71","3.02","0.99","8.30","10.81","2.85","9.82","24.35"
"Lloyds Metals And Energy Ltd","Iron & Steel","52584.79","42.31","38.70","18.71","8.00","29.36","30.91","0.10","472.69","24.61"
"IDFC First Bank Ltd","Private Banks","52486.92","17.84","-13.35","1.63","1.45","8.91","4.55","-","11.04","4.30"
"United Breweries Ltd","Alcoholic Beverages","52420.96","127.85","7.38","12.53","6.40","67.95","754.26","0.05","34.89","15.51"
"Tata Communications Ltd","Telecom Services","52156.43","53.86","1.02","29.13","2.45","14.60","16.39","0.91","-46.08","33.98"
"Gujarat Fluorochemicals Ltd","Specialty Chemicals","51415.84","118.21","30.49","8.66","11.72","52.56","82.09","-","-67.27","39.60"
"Central Bank of India Ltd","Public Banks","51191.50","19.19","-4.50","1.58","1.44","2.92","-","-","58.91","3.07"
"AU Small Finance Bank Ltd","Consumer Finance","51077.29","33.28","10.07","4.07","4.15","20.09","19.58","0.13","4.31","22.98"
"Page Industries Ltd","Apparel & Accessories","50709.69","89.09","28.89","31.75","10.47","56.68","46.93","0.81","-0.36","510.31"
"Astral Ltd","Building Products - Pipes","50038.50","91.63","-5.82","15.31","8.80","51.68","60.77","0.20","39.32","20.33"
"Glenmark Pharmaceuticals Ltd","Pharmaceuticals","48968.11","-32.61","66.87","6.24","3.75","31.69","-","-","-605.17","-53.22"
"Premier Energies Ltd","Renewable Energy","48868.45","211.23","30.33","74.06","15.40","98.46","542.08","-","2113.78","7.77"
"KPIT Technologies Ltd","IT Services & Consulting","48656.84","81.84","27.82","22.50","9.87","45.81","48.57","0.37","55.71","21.96"
"GE Vernova T&D India Ltd","Heavy Electrical Equipments","48595.07","268.41","96.75","39.10","15.23","136.97","93.75","0.11","12251.01","7.07"
"Coforge Ltd","IT Services & Consulting","48401.34","59.90","38.48","12.99","5.24","32.83","53.58","0.97","15.60","131.48"
"Bank of India Ltd","Public Banks","47657.33","7.26","-23.93","0.67","0.71","-","-","2.68","62.17","15.16"
"Federal Bank Ltd","Private Banks","47483.77","12.24","28.36","1.54","1.77","5.30","7.38","0.62","13.65","17.05"
"Coromandel International Ltd","Fertilizers & Agro Chemicals","46883.53","28.55","44.75","4.96","2.10","16.87","32.84","0.38","-18.55","55.81"
"SJVN Ltd","Renewable Energy","46725.26","51.27","-4.45","3.32","15.43","28.48","35.68","1.51","-32.95","2.32"
"Tata Elxsi Ltd","Software Services","45871.30","57.90","-2.20","18.31","12.49","38.26","65.42","0.95","4.91","127.21"
"Fortis Healthcare Ltd","Hospitals & Diagnostic Centres","45565.50","76.08","39.79","5.33","6.29","35.31","41.42","0.17","1.72","7.93"
"GlaxoSmithKline Pharmaceuticals Ltd","Pharmaceuticals","44912.08","76.13","40.84","25.27","12.49","48.50","77.17","1.21","-3.39","34.83"
"Nippon Life India Asset Management Ltd","Asset Management","44807.21","40.46","27.05","11.25","21.99","32.24","57.63","2.32","52.11","17.67"
"One 97 Communications Ltd","Business Support Services","44326.14","-31.28","86.65","3.33","4.21","-","68.11","-","19.42","-22.32"
"Honeywell Automation India Ltd","Electronic Equipments","43826.68","87.41","18.03","12.15","10.43","55.67","99.90","0.20","14.47","567.10"
"Housing and Urban Development Corporation Ltd","Specialized Finance","43465.25","20.53","11.31","2.62","5.47","41.03","-","-","24.41","10.57"
"APL Apollo Tubes Ltd","Building Products - Pipes","43078.75","58.82","2.90","11.95","2.37","34.63","38.76","-","8.51","26.40"
"Tata Technologies Ltd","IT Services & Consulting","42996.81","63.29","1.03","13.35","8.22","39.92","146.08","0.95","10.53","16.75"
"Adani Wilmar Ltd","FMCG - Foods","42577.47","287.72","-2.11","5.12","0.83","30.83","147.37","-","-74.58","1.14"
"ACC Ltd","Cement","42535.69","18.21","-5.24","2.60","2.06","10.61","14.20","0.33","163.98","124.03"
"Bharat Dynamics Ltd","Aerospace & Defense Equipments","42242.66","68.94","24.84","11.62","15.47","42.30","102.60","0.46","73.98","16.72"
"Exide Industries Ltd","Batteries","42202.50","48.14","10.26","3.27","2.50","22.36","27.56","0.40","6.56","10.31"
"IPCA Laboratories Ltd","Pharmaceuticals","41792.70","76.35","22.00","5.41","5.29","32.65","44.24","0.24","16.13","21.57"
"Escorts Kubota Ltd","Tractors","41671.68","39.72","26.41","4.54","4.50","24.31","40.37","0.48","79.32","86.55"
"UPL Ltd","Fertilizers & Agro Chemicals","41561.15","-34.63","16.06","1.27","0.95","16.10","22.81","0.18","-133.91","-15.99"
"Apar Industries Ltd","Electrical Components & Equipments","41519.18","50.32","44.72","10.71","2.56","25.00","-","0.49","26.25","210.39"
"Bank of Maharashtra Ltd","Public Banks","41519.01","10.20","-11.49","2.09","1.77","2.44","3.59","2.39","52.34","5.90"
"Blue Star Ltd","Home Electronics & Appliances","41517.74","100.05","43.95","15.89","4.27","57.71","143.55","0.35","0.24","20.84"
"L&T Finance Ltd","Consumer Finance","41480.90","17.88","3.31","1.76","2.95","36.10","61.59","1.50","42.50","9.34"
