Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Vedanta Ltd","Metals - Diversified","180756.32","42.64","22.80","4.30","1.20","6.53","5.07","6.07","-59.91","11.40"
"Grasim Industries Ltd","Cement","177175.76","31.50","11.10","1.28","1.34","12.08","-","0.37","-17.46","85.25"
"LTIMindtree Ltd","IT Services & Consulting","175751.92","38.36","25.65","8.78","4.85","23.73","31.00","1.09","3.87","154.85"
"Interglobe Aviation Ltd","Airlines","174595.04","21.36","22.08","87.45","2.45","10.36","8.23","-","2770.15","211.85"
"SBI Life Insurance Company Ltd","Insurance","171930.15","90.79","16.75","11.53","1.29","77.62","5.90","0.16","10.01","18.92"
"Tech Mahindra Ltd","IT Services & Consulting","169851.93","72.04","44.63","6.26","3.21","30.43","26.64","2.08","-51.33","26.76"
"ABB India Ltd","Heavy Electrical Equipments","163249.97","131.44","22.14","27.46","15.19","88.56","120.79","0.31","22.22","58.61"
"Pidilite Industries Ltd","Diversified Chemicals","157197.18","90.90","6.05","18.24","12.55","56.07","57.71","0.52","35.78","34.01"
"HDFC Life Insurance Company Ltd","Insurance","155727.94","98.93","20.39","10.62","1.53","146.89","14.53","0.28","14.02","7.32"
"Hyundai Motor India Ltd","Four Wheelers","154126.86","25.43","4.25","14.45","2.16","13.76","16.66","-","28.68","7458.13"
"Hindalco Industries Ltd","Metals - Aluminium","153356.36","15.10","17.21","1.44","0.71","7.56","6.37","0.51","0.04","45.18"
"Divi's Laboratories Ltd","Labs & Life Sciences Services","152049.78","95.03","51.98","11.20","18.58","58.18","120.58","0.52","-12.28","60.27"
"Power Finance Corporation Ltd","Specialized Finance","144659.96","7.32","9.83","1.08","1.58","30.81","-","3.08","24.37","59.88"
"Bharat Petroleum Corporation Ltd","Oil & Gas - Refining & Marketing","140155.42","5.22","8.95","1.85","0.31","3.91","3.90","6.40","1158.34","62.96"
"Tata Power Company Ltd","Power Transmission & Distribution","139860.01","37.84","1.87","3.65","2.15","13.35","11.10","0.46","10.78","11.56"
"Samvardhana Motherson International Ltd","Auto Parts","139058.30","51.20","55.13","4.93","1.40","16.27","18.37","0.39","81.61","4.01"
"Gail (India) Ltd","Gas Distribution","139043.21","14.05","5.92","1.80","1.02","9.38","11.05","2.60","77.41","15.06"
"Britannia Industries Ltd","FMCG - Foods","138471.57","64.71","19.82","34.91","8.15","40.98","53.82","1.28","-7.84","88.84"
"Ambuja Cements Ltd","Cement","136912.72","38.28","-12.68","2.69","3.96","17.33","24.25","0.32","31.44","17.10"
"REC Limited","Specialized Finance","133162.14","9.41","16.04","1.92","2.80","32.02","-","3.16","26.67","53.72"
"Godrej Consumer Products Ltd","FMCG - Personal Products","132197.60","-235.84","9.67","10.49","9.20","177.84","63.87","0.77","-132.92","-5.48"
"Eicher Motors Ltd","Trucks & Buses","128198.75","32.04","3.49","7.10","7.10","21.93","34.43","1.09","37.21","146.21"
"Bank of Baroda Ltd","Public Banks","123057.73","6.56","-8.53","1.02","0.87","0.86","-","3.20","25.91","36.20"
"TVS Motor Company Ltd","Two Wheelers","121672.49","72.15","31.22","16.20","3.10","26.01","-","0.31","26.92","35.50"
"Shriram Finance Ltd","Consumer Finance","120238.29","16.32","31.76","2.42","3.30","28.94","-","1.41","5.35","196.38"
"JSW Energy Ltd","Power Generation","120017.64","69.67","11.58","5.71","10.04","25.02","19.25","0.27","16.55","10.50"
"Cipla Ltd","Pharmaceuticals","119976.38","29.11","10.31","4.48","4.52","16.80","29.02","0.87","47.05","51.06"
"Cholamandalam Investment and Finance Company Ltd","Consumer Finance","118225.02","34.57","23.04","6.03","6.09","51.69","-","0.14","26.88","41.12"
"Adani Energy Solutions Ltd","Power Infrastructure","117917.90","103.68","-6.52","8.61","6.85","24.26","19.53","-","-10.11","10.20"
"Bajaj Housing Finance Ltd","Consumer Finance","113954.03","65.82","-17.07","9.31","14.96","83.16","-","-","18.89","2.58"
"Bajaj Holdings and Investment Ltd","Asset Management","113706.91","15.65","26.11","1.81","14.83","16.27","58.58","1.28","49.82","652.98"
"CG Power and Industrial Solutions Ltd","Heavy Electrical Equipments","113184.54","79.32","38.63","37.49","12.90","61.19","285.11","0.18","44.09","9.34"
"Torrent Pharmaceuticals Ltd","Pharmaceuticals","112328.35","67.82","25.84","16.38","10.33","32.83","34.39","0.84","33.02","48.94"
"Punjab National Bank","Public Banks","111113.78","12.20","-27.23","1.00","0.90","-","-","1.49","171.98","8.27"
"Dr Reddy's Laboratories Ltd","Pharmaceuticals","110082.75","19.74","11.02","3.90","3.81","11.98","24.23","0.61","23.61","334.66"
"Havells India Ltd","Electrical Components & Equipments","109702.26","86.33","13.04","14.73","5.82","50.22","56.17","0.51","18.53","20.28"
"Macrotech Developers Ltd","Real Estate","108247.33","69.88","-11.94","6.17","10.34","41.04","43.09","0.21","213.18","15.82"
"ICICI Prudential Life Insurance Company Ltd","Insurance","107823.72","126.75","25.70","9.80","1.18","94.77","-","0.08","4.45","5.91"
"Bosch Ltd","Auto Parts","106931.55","42.92","23.84","8.87","5.85","28.29","85.35","1.03","74.77","844.69"
"United Spirits Ltd","Alcoholic Beverages","106655.09","75.75","25.32","14.98","9.21","47.58","95.40","0.61","23.77","19.36"
"Hero MotoCorp Ltd","Two Wheelers","102903.77","27.48","18.43","5.77","2.66","16.65","20.90","2.72","33.22","187.35"
"Mankind Pharma Ltd","Pharmaceuticals","101346.94","52.98","5.71","10.58","9.53","34.71","47.08","-","49.23","47.75"
"Info Edge (India) Ltd","Online Services","101251.23","176.03","34.38","3.20","34.32","99.50","144.17","0.28","634.63","44.57"
"Zydus Lifesciences Ltd","Pharmaceuticals","100724.02","26.10","4.33","4.56","5.07","18.04","31.20","0.30","98.59","38.24"
"Tata Consumer Products Ltd","Tea & Coffee","100379.94","87.26","-12.46","5.76","6.50","46.55","51.83","0.74","-6.03","12.08"
"Polycab India Ltd","Electrical Components & Equipments","100187.15","56.16","21.18","12.15","5.49","36.19","77.29","0.45","40.02","118.94"
"Indian Overseas Bank","Public Banks","99351.07","37.27","-17.03","3.60","3.34","21.43","-","-","26.70","1.41"
"Apollo Hospitals Enterprise Ltd","Hospitals & Diagnostic Centres","99308.47","110.51","11.49","13.57","5.18","41.38","51.72","0.23","9.71","62.50"
"Indusind Bank Ltd","Private Banks","99267.09","11.06","-13.58","1.57","1.80","5.01","-","1.29","20.32","115.52"
"Dabur India Ltd","FMCG - Personal Products","99019.04","53.74","10.16","9.61","7.68","34.17","49.18","0.98","7.81","10.41"
"Solar Industries India Ltd","Commodity Chemicals","98312.47","117.61","25.71","28.69","16.08","70.06","69.92","0.08","10.40","92.38"
"Oracle Financial Services Software Ltd","Software Services","97334.72","43.86","52.64","12.39","14.49","29.39","54.36","2.14","22.58","256.47"
"ICICI Lombard General Insurance Company Ltd","Insurance","96920.45","50.52","15.52","7.94","4.70","35.93","40.27","0.56","10.76","39.00"
"HDFC Asset Management Company Ltd","Asset Management","96105.98","49.47","23.40","13.58","30.38","38.01","59.52","1.55","36.47","91.01"
"Cummins India Ltd","Industrial Machinery","94799.63","55.10","8.25","14.34","9.85","38.57","73.75","1.11","40.10","62.07"
"Lupin Ltd","Pharmaceuticals","94629.21","49.43","31.30","6.58","4.70","24.32","25.94","0.39","344.56","42.05"
"Indus Towers Ltd","Telecom Infrastructure","94198.95","15.61","-0.67","3.48","3.13","7.15","8.13","-","195.89","22.40"
"Torrent Power Ltd","Power Transmission & Distribution","94056.70","51.31","30.07","7.47","3.41","21.39","22.09","0.82","-13.42","38.14"
"Suzlon Energy Ltd","Renewable Energy Equipment & Services","93957.32","142.28","64.52","23.97","14.29","92.43","1181.41","-","-80.00","0.51"
"Indian Hotels Company Ltd","Hotels Resorts & Cruise Lines","93754.36","74.46","8.99","9.26","13.49","40.58","48.45","0.27","25.45","8.85"
"Jindal Steel And Power Ltd","Iron & Steel","92623.35","15.60","0.62","2.07","1.83","10.12","15.42","0.22","87.88","59.17"
"Rail Vikas Nigam Ltd","Specialized Finance","92189.16","58.56","59.42","10.54","3.98","35.98","31.20","-","17.33","7.55"
"Dixon Technologies (India) Ltd","Home Electronics & Appliances","91456.94","248.69","96.80","52.83","5.16","124.56","156.52","-","43.34","61.61"
"Colgate-Palmolive (India) Ltd","FMCG - Personal Products","90601.13","68.45","23.82","48.34","15.74","45.61","75.57","1.29","26.40","48.67"
"Tube Investments of India Ltd","Cycles","89648.87","74.66","29.41","13.29","5.05","32.51","132.78","0.08","25.57","62.13"
"Shree Cement Ltd","Cement","89156.43","37.22","1.36","4.30","4.22","16.65","26.63","0.42","88.53","663.98"
"Persistent Systems Ltd","Software Services","89126.72","81.51","62.05","17.98","8.96","48.94","72.98","0.45","18.41","47.57"
"Max Healthcare Institute Ltd","Hospitals & Diagnostic Centres","88872.31","84.03","20.19","10.57","15.11","53.33","79.22","0.16","-4.27","10.89"
"Canara Bank Ltd","Public Banks","88611.19","5.80","-18.81","0.95","0.64","-","5.89","3.30","35.75","16.84"
