Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Chennai Petroleum Corporation Ltd","Oil & Gas - Refining & Marketing","11705.18","4.26","-15.31","1.26","0.18","3.07","4.34","7.00","-22.27","184.34"
"Happiest Minds Technologies Ltd","IT Services & Consulting","11639.48","46.86","-4.19","7.86","6.74","24.85","54.76","0.74","5.05","16.98"
"TTK Prestige Ltd","Home Electronics & Appliances","11630.25","50.90","21.36","5.57","3.97","28.42","40.26","0.72","-10.11","16.48"
"Can Fin Homes Ltd","Home Financing","11601.72","15.45","17.08","2.67","3.29","44.33","-","0.69","20.84","56.38"
"Powergrid Infrastructure Investment Trust","Power Transmission & Distribution","11516.95","12.43","-9.35","1.41","8.84","8.34","9.36","2.37","574.94","10.18"
"MMTC Ltd","Commodities Trading","11499.00","59.83","2.42","7.07","30.21","50.19","-","-","-87.70","1.28"
"Symphony Ltd","Home Electronics & Appliances","11490.79","77.57","74.55","15.34","9.52","52.48","71.12","0.78","28.15","21.33"
"CEAT Ltd","Tires & Rubber","11445.96","17.81","11.92","2.82","0.96","8.07","6.66","1.06","245.20","158.87"
"Vesuvius India Ltd","Industrial Machinery","11411.78","53.59","44.24","9.56","6.97","34.06","138.53","0.23","82.34","104.92"
"Bengal & Assam Company Ltd","Diversified Financials","11399.63","2.93","18.85","1.23","0.72","2.67","6.27","0.40","315.01","3444.98"
"Gujarat Mineral Development Corporation Ltd","Mining - Diversified","11304.90","18.31","-11.64","1.85","4.12","12.00","104.10","-","-48.75","19.41"
"Intellect Design Arena Ltd","Software Services","11278.69","35.12","-17.97","4.60","4.39","18.63","27.50","0.42","19.19","23.57"
"JSW Holdings Ltd","Asset Management","11233.35","72.21","46.72","0.44","66.25","71.30","97.69","-","-53.08","140.18"
"Jubilant Ingrevia Ltd","Specialty Chemicals","11183.09","61.15","31.87","4.09","2.68","25.95","26.01","0.71","-40.59","11.48"
"India Cements Ltd","Cement","11145.45","-49.03","60.41","1.99","2.14","66.57","32.41","-","-79.18","-7.34"
"Safari Industries (India) Ltd","Apparel & Accessories","11137.23","63.35","9.14","13.52","7.12","37.46","51.34","0.18","34.72","36.55"
"CE Info Systems Ltd","Software Services","11130.68","83.09","0.73","16.87","26.66","56.38","147.39","0.17","23.94","24.87"
"Prudent Corporate Advisory Services Ltd","Asset Management","11115.00","80.10","79.71","23.09","13.48","52.23","74.30","-","18.93","33.51"
"Sanofi Consumer Healthcare India Ltd","Pharmaceuticals","11072.43","67.19","-1.95","-","20.91","50.06","-","-","-","71.54"
"Metropolis Healthcare Ltd","Hospitals & Diagnostic Centres","10876.11","85.09","15.93","9.89","8.94","36.87","41.19","0.19","-10.59","24.96"
"Alok Industries Ltd","Textiles","10824.22","-12.78","-20.44","-0.67","1.96","466.26","-","-","3.82","-1.71"
"Bharat 22 ETF","Equity","10739.05","-","8.14","-","-","-","-","0.00","-","-"
"JK Tyre & Industries Ltd","Tires & Rubber","10689.52","13.60","-3.51","2.32","0.71","6.99","6.62","1.10","190.98","31.02"
"Alkyl Amines Chemicals Ltd","Specialty Chemicals","10677.46","71.72","-1.09","8.43","7.34","40.07","38.83","0.48","-34.93","29.13"
"Aether Industries Ltd","Specialty Chemicals","10665.58","129.30","-3.63","5.17","16.71","65.27","-","-","-41.64","6.42"
"Raymond Ltd","Apparel & Accessories","10634.92","6.49","26.90","2.10","1.03","5.41","19.94","0.63","209.68","148.59"
"Nippon India ETF Nifty Bank BeES","Equity","10625.95","-","7.76","-","-","-","-","0.00","-","-"
"Va Tech Wabag Ltd","Water Management","10605.96","43.18","74.09","5.81","3.66","25.37","79.45","-","1789.23","39.49"
"Sapphire Foods India Ltd","Restaurants & Cafes","10605.39","200.86","17.42","7.92","4.04","23.45","23.63","-","-77.40","1.66"
"Reliance Infrastructure Ltd","Power Infrastructure","10574.58","-6.57","38.51","0.76","0.44","6.96","2.58","-","58.94","-42.98"
"Quess Corp Ltd","Employment Services","10544.25","37.95","13.39","3.56","0.55","15.64","19.92","1.41","23.59","18.73"
"Electrosteel Castings Ltd","Building Products - Pipes","10486.88","14.17","-16.97","2.05","1.38","9.59","13.02","0.83","129.74","12.20"
"Mrs. Bectors Food Specialities Ltd","FMCG - Foods","10469.61","74.59","55.86","15.79","6.37","40.43","68.25","-","55.84","23.87"
"Kirloskar Ferrous Industries Ltd","Iron & Steel","10451.29","35.10","5.52","3.23","1.70","14.31","18.57","-","-32.06","21.40"
"Jammu and Kashmir Bank Ltd","Private Banks","10364.33","5.85","-27.88","0.85","0.86","0.83","-","2.28","38.20","16.61"
"ELANTAS Beck India Ltd","Electrical Components & Equipments","10356.45","75.43","35.99","14.15","14.13","49.89","77.62","0.04","40.41","173.18"
"KPI Green Energy Ltd","Renewable Energy","10323.63","63.86","-17.78","12.35","10.01","32.58","-","0.03","39.62","14.12"
"Edelweiss Financial Services Ltd","Diversified Financials","10262.17","24.39","39.80","1.70","1.07","50.71","3.55","-","60.12","3.23"
"Happy Forgings Ltd","Auto Truck & Motorcycle Parts","10257.50","42.22","16.47","6.36","7.48","25.65","54.27","0.37","13.44","26.45"
"Galaxy Surfactants Ltd","Specialty Chemicals","10246.96","33.99","11.78","4.70","2.68","20.09","19.77","0.76","-20.87","85.03"
"Graphite India Ltd","Electrical Components & Equipments","10209.35","12.63","-23.72","1.82","2.43","6.89","15.01","2.11","305.37","41.36"
"Sammaan Capital Ltd","Home Financing","10140.16","8.35","-20.10","0.51","1.18","31.32","-","-","-12.61","19.69"
"Tanla Platforms Ltd","Software Services","10133.59","18.48","-18.83","5.22","2.55","12.27","17.18","1.59","23.07","40.79"
"Engineers India Ltd","Construction & Engineering","10089.22","22.66","-13.59","4.47","2.88","16.89","45.46","1.67","28.58","7.92"
"RBL Bank Ltd","Private Banks","10078.41","8.00","-36.92","0.68","0.65","-","2.03","0.90","36.38","20.92"
"INOX India Ltd","Sea-Borne Tankers","10020.29","51.12","-21.94","15.44","8.62","34.73","79.79","1.00","26.66","21.59"
"shipping corporation of India Ltd","Logistics","9972.76","14.69","-2.81","1.32","1.87","6.78","10.03","0.23","-10.70","14.58"
"Bajaj Electricals Ltd","Home Electronics & Appliances","9954.77","75.94","-8.59","6.91","2.11","28.90","28.14","0.35","-35.81","10.70"
"Home First Finance Company India Ltd","Home Financing","9944.83","32.53","30.07","4.69","8.60","39.90","-","-","33.25","34.64"
"Tips Music Ltd","Movies & TV Serials","9892.89","77.79","68.02","55.11","38.65","55.98","42.47","0.78","80.98","9.90"
"Puravankara Ltd","Real Estate","9850.01","233.08","15.68","5.21","4.36","23.09","10.99","1.52","-36.43","1.78"
"Senco Gold Ltd","Precious Metals Jewellery & Watches","9847.43","54.40","33.19","7.21","1.86","25.67","-","0.16","-6.75","27.11"
"Just Dial Ltd","Online Services","9835.76","27.10","6.18","2.44","7.29","10.14","37.96","-","121.15","42.86"
"Isgec Heavy Engineering Ltd","Heavy Machinery","9817.29","40.29","28.68","3.75","1.57","19.32","13.35","0.30","24.01","33.14"
"Brookfield India Real Estate Trust","Real Estate","9717.19","411.92","16.47","0.79","5.24","17.54","6.78","8.02","-84.44","0.61"
"Gujarat Pipavav Port Ltd","Ports","9658.16","28.24","-3.53","4.18","9.00","14.38","19.76","3.65","9.22","7.07"
"Vijaya Diagnostic Centre Ltd","Hospitals & Diagnostic Centres","9654.19","81.24","42.39","14.63","16.98","40.61","52.67","0.11","40.15","11.63"
"Saregama India Ltd","Movies & TV Serials","9635.65","48.77","17.86","6.54","11.12","28.96","103.33","0.80","505.57","9.91"
"ESAB India Ltd","Industrial Machinery","9618.64","59.02","24.61","31.43","7.70","40.71","68.20","1.38","20.12","105.88"
"Choice International Ltd","Investment Banking & Brokerage","9608.07","73.42","45.90","15.01","12.65","51.68","-","-","444.22","6.57"
"India Grid Trust","Power Transmission & Distribution","9591.90","33.61","6.25","1.78","3.21","10.73","3.60","2.90","-40.88","3.85"
"Route Mobile Ltd","IT Services & Consulting","9586.39","25.56","0.17","4.42","2.32","16.14","-","0.72","14.76","59.90"
"Sansera Engineering Ltd","Auto Parts","9571.28","51.52","51.32","7.02","3.40","21.51","25.57","-","25.33","34.87"
"Time Technoplast Ltd","Plastic Products","9566.19","30.81","58.18","3.66","1.91","14.62","23.55","-","41.49","13.70"
"LS Industries Ltd","Textiles","9515.26","-2874.70","374.60","155.71","16405.62","-","-","-","62.47","-0.04"
"CMS Info Systems Ltd","Software Services","9486.65","27.33","49.18","4.87","4.13","13.88","21.57","0.99","13.25","21.89"
"ITD Cementation India Ltd","Construction & Engineering","9444.02","34.50","53.24","6.30","1.21","11.67","13.41","0.31","120.31","15.93"
"Prism Johnson Ltd","Cement","9438.94","52.12","13.79","5.71","1.18","14.27","19.96","-","275.44","3.60"
"Eureka Forbes Ltd","Household Appliances","9435.98","98.66","10.55","2.23","4.29","48.49","48.52","-","259.95","4.94"
"P N Gadgil Jewellers Ltd","Precious Metals Jewellery & Watches","9424.94","61.06","-12.45","17.64","1.54","35.33","1491.29","-","32.45","17.82"
"Latent View Analytics Ltd","IT Services & Consulting","9416.16","59.36","-8.78","6.85","13.18","41.32","81.62","-","0.70","7.72"
"Cera Sanitaryware Ltd","Building Products - Ceramics","9409.60","39.37","-0.15","6.93","4.85","23.95","39.86","0.83","14.14","183.76"
"Gujarat Narmada Valley Fertilizers & Chemicals Ltd","Fertilizers & Agro Chemicals","9287.39","18.68","-8.87","1.12","1.11","7.31","296.91","2.61","-65.27","32.88"
"Rattanindia Enterprises Ltd","Power Trading & Consultancy","9239.52","21.68","-10.01","10.93","1.49","17.59","-","-","249.73","3.08"
"Max Estates Ltd","Real Estate","9228.94","-218.90","97.49","6.36","76.74","15569.81","34.09","-","-217.43","-5.73"
"IFB Industries Ltd","Auto Parts","9210.73","182.90","45.52","12.84","1.62","39.78","26.27","-","237.08","12.43"
"Valor Estate Ltd","Real Estate","9175.45","6.95","-23.07","1.78","5.34","7.15","38.76","-","1102.60","29.65"
"Power Mech Projects Ltd","Construction & Engineering","9169.83","36.96","10.28","4.98","2.17","17.47","44.82","0.03","14.35","80.77"
"Sheela Foam Ltd","Home Furnishing","9149.06","50.15","-8.32","3.07","2.93","24.15","22.54","-","30.14","17.69"
"Lemon Tree Hotels Ltd","Hotels Resorts & Cruise Lines","9146.94","61.60","-14.43","5.91","8.44","22.37","19.67","-","29.52","1.88"
"JK Lakshmi Cement Ltd","Cement","9067.66","19.22","-1.52","2.70","1.32","9.46","10.08","0.84","31.57","40.09"
"National Standard (India) Ltd","Real Estate","9066.60","615.10","-6.51","34.99","239.29","454.42","-","-","78.45","7.37"
"Diamond Power Infrastructure Ltd","Electrical Components & Equipments","9000.40","528.81","138.54","-9.25","26.15","215.64","328.00","-","221.39","3.23"
"Triveni Engineering and Industries Ltd","Sugar","8920.09","22.57","14.79","3.07","1.69","14.91","88.98","1.41","-76.79","18.05"
"Shakti Pumps (India) Ltd","Industrial Machinery","8902.10","62.81","152.26","11.78","6.48","38.47","163.70","-","462.25","73.78"
"Aurionpro Solutions Ltd","IT Services & Consulting","8871.48","62.93","19.70","9.38","9.90","42.97","54.22","0.07","39.02","29.67"
"Arvind Ltd","Apparel & Accessories","8870.05","26.35","3.72","2.45","1.14","11.19","12.74","1.40","-16.96","12.87"
"Shriram Pistons & Rings Ltd","Auto Parts","8851.81","20.00","-2.51","4.38","2.79","11.63","18.19","0.50","126.20","100.46"
"Shree Renuka Sugars Ltd","Sugar","8837.49","-14.09","-5.74","-6.15","0.78","20.18","9.68","-","-218.41","-2.95"
"Garware Hi-Tech Films Ltd","Commodity Chemicals","8829.12","43.43","118.29","4.32","5.14","26.29","51.30","0.26","22.36","87.51"
"Allied Blenders and Distillers Ltd","Alcoholic Beverages","8815.07","4816.98","-0.87","21.66","2.64","39.25","47.47","-","12.37","0.07"
"Campus Activewear Ltd","Apparel & Accessories","8803.47","98.43","21.92","13.51","6.06","41.59","33.29","-","-23.75","2.93"
"Kirloskar Pneumatic Company Ltd","Industrial Machinery","8800.58","66.03","70.58","9.52","6.56","39.73","47.98","0.48","22.44","20.60"
"HG Infra Engineering Ltd","Construction & Engineering","8790.28","16.32","29.21","3.58","1.62","9.20","-","0.11","9.20","82.64"
"Rashtriya Chemicals and Fertilizers Ltd","Fertilizers & Agro Chemicals","8768.53","38.92","10.53","1.90","0.51","16.17","-","-","-76.69","4.08"
"Birla Corporation Ltd","Cement","8752.81","20.81","-22.74","1.31","0.90","7.79","5.40","0.88","938.42","54.61"
"Jupiter Life Line Hospitals Ltd","Hospitals & Diagnostic Centres","8750.77","49.55","6.02","7.49","7.99","31.92","76.41","0.07","113.09","28.93"
"SBFC Finance Ltd","Specialized Finance","8736.59","36.85","-7.90","3.14","8.57","37.16","-","-","36.68","2.41"
"Lloyds Engineering Works Ltd","Industrial Machinery","8736.34","109.42","20.00","21.25","13.83","80.10","-","0.26","95.74","0.74"
"GMR Power and Urban Infra Ltd","Power Generation","8733.15","-84.76","93.77","-2.93","1.65","12.79","5.17","-","-108.71","-1.71"
"Mastek Ltd","IT Services & Consulting","8718.93","29.04","5.02","4.18","2.84","16.86","20.74","0.67","1.09","98.68"
"Azad Engineering Ltd","Renewable Energy Equipment & Services","8676.90","148.15","9.51","13.45","23.28","58.27","-","-","90.02","16.97"
"Rategain Travel Technologies Ltd","Software Services","8650.92","59.50","3.78","5.96","8.66","34.89","56.99","-","102.70","12.86"
"Keystone Realtors Ltd","Real Estate","8646.39","77.06","1.67","4.82","3.75","48.86","47.14","-","28.59","9.85"
"Kotak Nifty Bank ETF","Equity","8642.35","-","7.62","-","-","-","-","0.00","-","-"
"V-mart Retail Ltd","Retail - Department Stores","8583.67","-88.71","109.55","11.49","3.06","42.49","22.24","-","-1131.76","-48.93"
"Epigral Ltd","Commodity Chemicals","8565.15","43.73","52.59","6.54","4.42","19.41","21.54","0.24","-44.56","47.14"
"HMT Ltd","Industrial Machinery","8553.87","3.35","19.80","-1.99","2.95","4.60","83.10","-","2175.11","71.73"
"Procter & Gamble Health Ltd","Pharmaceuticals","8548.43","42.53","8.96","11.38","7.33","26.94","36.22","1.17","-3.62","133.24"
"HEG Ltd","Electrical Components & Equipments","8535.40","27.39","-11.23","1.93","3.26","13.91","13.94","1.02","-41.46","16.15"
"PNC Infratech Ltd","Construction & Engineering","8526.08","9.38","-23.98","1.64","0.98","7.03","-","-","38.12","35.45"
"F D C Ltd","Pharmaceuticals","8475.08","27.77","17.28","4.04","4.15","18.22","38.39","-","60.16","18.57"
"Religare Enterprises Ltd","Investment Banking & Brokerage","8447.30","36.27","15.49","3.15","1.29","17.51","5.61","-","-92.57","7.13"
"Blue Jet Healthcare Ltd","Pharmaceuticals","8388.79","51.23","28.36","9.92","11.33","32.50","34.77","-","2.32","9.44"
"CCL Products (India) Ltd","Tea & Coffee","8383.55","33.52","7.27","5.01","3.15","21.78","151.38","0.71","-11.94","18.80"
"SBI Nifty 50 ETF","Equity","8375.51","-","10.17","-","-","-","-","0.00","-","-"
"Balu Forge Industries Ltd","Construction & Engineering","8375.04","89.41","211.84","15.15","14.69","64.33","-","-","114.43","10.07"
"Thomas Cook (India) Ltd","Tour & Travel Services","8369.89","32.31","-13.69","4.12","1.13","13.06","10.10","0.34","3789.98","5.51"
"BHARAT Bond ETF-April 2023-Growth","Debt","8369.70","-","-","-","-","-","-","0.00","-","-"
"Force Motors Ltd","Four Wheelers","8362.05","21.55","-35.15","3.70","1.19","9.04","8.24","0.32","190.40","294.54"
"KNR Constructions Ltd","Construction & Engineering","8348.45","10.74","13.52","2.39","1.82","7.52","-","-","69.73","27.64"
"EPL Ltd","Packaging","8324.82","39.05","46.88","3.98","2.09","12.60","14.19","1.70","-6.32","6.70"
"Gallantt Ispat Ltd","Iron & Steel","8314.54","36.89","24.72","3.39","1.96","19.16","24.15","-","59.94","9.34"
"Sunteck Realty Ltd","Real Estate","8306.51","117.11","29.27","2.66","13.39","49.61","76.21","-","4859.85","4.94"
"Network18 Media & Investments Ltd","Movies & TV Serials","8284.50","-40.16","-10.13","1.80","0.82","124.93","-","-","-201.01","-2.45"
"Kama Holdings Ltd","Conglomerates","8263.48","9.46","-7.06","0.67","0.61","7.12","3.89","3.92","-30.12","272.27"
"Ganesh Housing Corp Ltd","Real Estate","8241.15","17.89","25.70","5.26","9.17","12.73","12.92","1.11","350.96","55.25"
"MedPlus Health Services Ltd","Online Services","8119.72","123.97","-1.33","5.15","1.43","22.80","56.49","-","31.48","5.48"
"Karnataka Bank Ltd","Private Banks","8104.15","6.20","-4.53","0.75","0.84","0.07","22.37","2.56","0.14","37.89"
"Gujarat State Fertilizers & Chemicals Ltd","Fertilizers & Agro Chemicals","8100.25","14.36","-14.70","0.64","0.85","6.46","-","-","-55.44","14.15"
"Star Cement Ltd","Cement","8092.10","27.42","-11.51","2.99","2.76","13.97","16.52","-","19.19","7.30"
"ASK Automotive Ltd","Auto Parts","8027.65","46.20","28.03","9.83","2.66","25.53","26.47","0.25","42.67","8.81"
"Varroc Engineering Ltd","Auto Parts","7994.55","15.20","2.24","5.24","1.05","11.14","12.52","-","164.16","34.43"
"Pilani Investment And Industries Corporation Ltd","Asset Management","7992.12","48.01","91.39","0.55","27.91","44.06","-","-","-32.31","150.34"
"Equitas Small Finance Bank Ltd","Private Banks","7983.64","9.99","-30.28","1.34","1.27","3.68","-","1.42","46.56","7.12"
"Bharat Global Developers Ltd","-","7983.31","2390.21","357.44","79.01","309.67","1706.54","-","-","-","0.68"
"Black Box Ltd","Software Services","7977.68","57.95","88.17","16.59","1.26","20.55","59.40","-","7282.78","8.20"
"Ion Exchange (India) Ltd","Environmental Services","7947.45","40.55","16.49","7.79","3.32","23.42","61.16","0.27","-0.38","13.77"
"Shilpa Medicare Ltd","Pharmaceuticals","7944.04","249.26","51.84","4.41","6.81","34.81","58.70","-","197.97","3.67"
"Mahindra Lifespace Developers Ltd","Real Estate","7923.55","80.65","-22.43","4.23","17.28","114.13","-","0.52","-3.28","6.35"
"Avanti Feeds Ltd","Packaged Foods & Meats","7904.97","22.13","10.59","2.94","1.44","11.41","30.06","1.08","28.15","26.21"
"Garware Technical Fibres Ltd","Textiles","7879.92","37.85","19.52","6.39","5.76","24.43","36.01","0.08","21.62","102.16"
"Indigo Paints Ltd","Paints","7844.01","53.24","23.99","8.69","5.94","30.38","51.94","0.21","11.63","30.95"
"TVS Supply Chain Solutions Ltd","Logistics","7810.93","-77.18","0.36","4.23","0.84","13.53","61.22","-","-329.35","-2.51"
"JK Paper Ltd","Paper Products","7791.66","6.95","30.21","1.48","1.08","4.91","5.66","1.85","-6.19","66.22"
"Texmaco Rail & Engineering Ltd","Rail","7774.83","68.68","13.72","3.07","2.18","23.13","81.17","-","288.28","3.14"
"Maharashtra Seamless Ltd","Building Products - Pipes","7773.30","8.17","-34.04","1.36","1.40","4.93","7.46","1.72","24.39","70.99"
"Transport Corporation of India Ltd","Logistics","7770.25","22.15","17.21","3.81","1.87","14.29","25.96","0.70","10.25","45.17"
"Shoppers Stop Ltd","Retail - Department Stores","7752.45","100.36","-0.54","25.72","1.77","13.73","13.81","-","-33.55","7.04"
"Juniper Hotels Ltd","Hotels Resorts & Cruise Lines","7716.38","324.35","-25.92","2.91","9.34","26.74","23.59","-","1336.47","1.30"
"Anupam Rasayan India Ltd","Specialty Chemicals","7692.82","59.82","-16.90","2.62","5.11","20.88","130.32","-","-32.01","11.84"
"Arvind Fashions Ltd","Textiles","7664.21","95.04","23.91","6.43","1.77","15.22","17.65","0.22","119.37","6.07"
"Dodla Dairy Ltd","FMCG - Foods","7661.63","45.95","27.28","6.73","2.43","23.43","-","-","36.34","28.03"
"Archean Chemical Industries Ltd","Commodity Chemicals","7650.05","23.98","-9.49","4.50","5.57","14.53","20.17","0.48","-25.78","25.89"
"Infibeam Avenues Ltd","IT Services & Consulting","7636.29","48.29","-17.79","2.21","2.39","25.10","10.61","0.18","11.09","0.55"
"Protean eGov Technologies Ltd","IT Consulting & Other Services","7564.63","77.75","51.35","8.17","7.97","47.26","131.47","-","-9.19","24.06"
"Equinox India Developments Ltd","Real Estate","7528.08","-7.25","-17.47","2.72","16.06","-","-","-","-56.83","-19.20"
"Electronics Mart India Ltd","Home Electronics & Appliances","7512.60","40.84","-4.28","5.49","1.19","19.58","47.00","-","33.31","4.78"
"RattanIndia Power Ltd","Power Generation","7448.34","0.84","57.61","1.57","0.51","0.88","5.70","-","575.80","16.57"
"eMudhra Ltd","IT Services & Consulting","7421.59","98.88","16.95","11.21","19.53","61.69","102.34","0.14","13.37","9.63"
"Mahindra Holidays and Resorts India Ltd","Hotels Resorts & Cruise Lines","7395.11","64.01","-12.32","13.86","2.62","14.45","11.84","-","-0.05","5.74"
"Spicejet Ltd","Airlines","7394.04","-17.49","-8.09","-1.42","0.87","15.77","-","-","75.71","-6.10"
"Ujjivan Small Finance Bank Ltd","Private Banks","7364.50","5.75","-28.57","1.31","1.14","2.68","4.65","1.06","73.49","10.36"
"India Shelter Finance Corporation Ltd","Home Financing","7345.28","29.67","16.85","3.20","8.53","31.55","-","-","-7.57","32.84"
"PC Jeweller Ltd","Precious Metals Jewellery & Watches","7344.90","-11.67","191.44","2.51","10.96","-","115.02","-","-209.72","-13.52"
"Paradeep Phosphates Ltd","Fertilizers & Agro Chemicals","7336.89","73.43","28.21","2.06","0.63","15.65","5.11","-","-71.98","1.23"
"Indo Count Industries Ltd","Textiles","7331.97","21.70","-3.06","3.51","2.04","13.36","50.29","0.59","21.89","17.06"
"Sundaram Finance Holdings Ltd","Diversified Financials","7312.62","13.72","34.61","1.53","24.61","28.87","55.30","2.34","124.43","24.00"
"Ujaas Energy Ltd","Renewable Energy","7278.33","251.32","2497.41","81.65","137.64","442.32","58.23","-","310.08","1.52"
"Responsive Industries Ltd","Building Products - Granite","7264.03","45.05","-5.36","6.39","6.57","28.50","32.27","0.04","556.34","6.05"
"Insolation Energy Ltd","Semiconductors","7226.00","130.27","103.87","66.70","9.75","85.34","118.48","-","346.26","26.63"
"V I P Industries Ltd","Apparel & Accessories","7215.70","132.89","-5.86","10.64","3.16","34.19","-","0.39","-64.42","3.83"
"Laxmi Organic Industries Ltd","Specialty Chemicals","7168.54","59.47","3.85","3.99","2.48","23.96","12.77","0.23","-5.40","4.46"
"Rajesh Exports Ltd","Precious Metals Jewellery & Watches","7165.96","21.36","-17.91","0.47","0.03","9.73","22.67","-","-76.57","11.36"
"Dilip Buildcon Ltd","Construction & Engineering","7145.53","36.83","7.64","1.63","0.57","7.25","6.68","0.20","20762.37","13.27"
"Ahluwalia Contracts (India) Ltd","Construction & Engineering","7125.47","19.01","-6.16","4.45","1.74","10.41","27.68","-","93.24","55.96"
"Welspun Enterprises Ltd","Construction & Engineering","7123.97","24.14","49.42","2.86","2.33","12.08","-","-","-57.28","20.60"
"Chemplast Sanmar Ltd","Building Products - Pipes","7099.91","-44.81","-8.09","4.17","1.77","73.81","-","-","-203.99","-10.02"
"PDS Limited","Textiles","7083.92","49.12","6.14","5.69","0.68","16.56","37.38","0.59","62.11","10.99"
"Moil Ltd","Mining - Manganese","7063.99","24.08","-8.39","2.88","4.58","11.58","27.88","1.74","17.06","14.42"
"Astra Microwave Products Ltd","Communication & Networking","7035.43","58.12","4.69","7.28","7.54","33.11","-","0.27","65.38","13.34"
"Tarc Ltd","Real Estate","7027.72","-91.22","49.83","5.51","57.88","146.80","44.42","-","-478.76","-2.61"
"Ethos Ltd","Precious Metals Jewellery & Watches","6991.74","83.93","20.15","7.91","6.83","37.31","226.93","-","22.54","34.83"
"Syrma SGS Technology Ltd","Electronic Equipments","6982.65","65.06","-15.88","4.16","2.17","29.15","-","0.38","-20.16","6.06"
"Orient Cement Ltd","Cement","6907.15","39.50","65.07","3.96","2.02","15.06","16.22","0.67","42.39","8.54"
"Hindustan Foods Ltd","FMCG - Foods","6887.00","74.05","20.27","10.65","2.49","33.03","79.43","-","29.73","8.18"
"Sandur Manganese and Iron Ores Ltd","Mining - Manganese","6867.85","28.68","-18.17","3.18","5.15","16.13","44.86","2.36","-11.57","14.78"
"Surya Roshni Ltd","Iron & Steel","6857.06","20.83","12.66","3.17","0.88","11.64","12.71","0.79","-2.62","30.25"
"Tamilnad Mercantile Bank Ltd","Private Banks","6799.61","6.34","-13.11","0.86","1.24","2.20","-","-","-1.05","67.70"
"Sun Pharma Advanced Research Co Ltd","Pharmaceuticals","6750.70","-17.43","-30.69","53.68","64.28","-","-","-","-73.96","-11.93"
"National Highways Infra Trust","Roads","6746.84","22.93","3.56","0.47","6.92","23.62","8.39","-","76.49","6.86"
"Balaji Amines Ltd","Specialty Chemicals","6731.79","32.86","-6.75","3.56","4.03","18.63","30.02","0.53","-37.07","63.23"
"Kennametal India Ltd","Industrial Machinery","6717.21","60.79","23.01","9.16","5.98","33.80","58.77","0.98","26.00","50.28"
"Man Infraconstruction Ltd","Construction & Engineering","6698.27","22.30","-13.18","4.42","4.86","14.06","11.70","0.90","16.18","8.09"
"Sudarshan Chemical Industries Ltd","Diversified Chemicals","6696.70","18.73","34.91","5.83","2.33","10.93","34.62","0.48","698.77","51.63"
"Privi Speciality Chemicals Ltd","Specialty Chemicals","6696.52","70.56","47.37","7.12","3.77","21.57","18.89","0.12","327.52","24.30"
"Technocraft Industries (India) Ltd","Industrial Machinery","6689.72","25.32","28.85","3.90","2.95","15.00","21.75","-","2.15","115.07"
"Suprajit Engineering Ltd","Auto Parts","6674.59","39.90","15.82","4.90","2.26","17.63","26.78","-","9.94","12.08"
"BHARAT Bond ETF-April 2030-Growth","Debt","6636.67","-","5.33","-","-","-","-","0.00","-","-"
"Johnson Controls-Hitachi Air Conditioning India Ltd","Home Electronics & Appliances","6625.06","-87.51","106.54","11.36","3.43","-","26.04","-","7.83","-27.84"
"Nazara Technologies Ltd","Theme Parks & Gaming","6611.67","116.88","33.70","2.83","5.43","33.87","72.82","-","32.24","7.93"
"ICRA Ltd","Stock Exchanges & Ratings","6606.76","43.73","31.57","6.73","12.68","27.02","61.74","1.46","11.73","156.55"
"Rallis India Ltd","Fertilizers & Agro Chemicals","6566.24","44.41","24.64","3.59","2.46","19.53","24.40","0.74","60.82","7.60"
"Go Fashion (India) Ltd","Apparel & Accessories","6532.39","78.89","7.43","10.82","8.37","25.87","29.87","-","0.01","15.33"
"Ashoka Buildcon Ltd","Construction & Engineering","6522.60","12.97","32.70","2.62","0.65","4.40","8.71","-","72.04","17.92"
"Dhanuka Agritech Ltd","Fertilizers & Agro Chemicals","6510.44","27.23","5.02","5.18","3.63","17.83","48.42","0.98","3.51","52.45"
"Share India Securities Ltd","Investment Banking & Brokerage","6507.31","15.30","-12.38","3.70","4.37","8.58","-","0.53","18.20","24.02"
"BHARAT Bond ETF-April 2032","Debt","6496.91","-","6.12","-","-","-","-","-","-","-"
"Orchid Pharma Ltd","Pharmaceuticals","6493.06","70.45","21.22","5.55","7.64","44.83","51.54","-","77.44","20.14"
"Skipper Ltd","Power Infrastructure","6475.92","79.29","58.01","7.21","1.96","20.63","32.52","0.02","132.37","7.86"
"Hindustan Construction Company Ltd","Construction & Engineering","6447.38","13.48","1.80","-38.27","0.80","4.96","71.10","-","1852.58","3.10"
"Greenlam Industries Ltd","Building Products - Laminates","6436.74","46.51","-13.80","5.98","2.76","23.28","33.24","0.33","4.63","10.87"
"Nesco Ltd","Real Estate","6397.41","17.63","9.78","2.79","8.17","11.37","17.04","0.66","24.82","51.49"
"Piccadily Agro Industries Ltd","Sugar","6395.73","58.28","29.65","18.83","7.90","36.32","125.33","-","393.16","11.59"
