Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Bharat Dynamics Ltd","Aerospace & Defense Equipments","40945.03","66.83","21.14","11.26","14.99","40.86","99.45","0.47","73.98","16.72"
"UPL Ltd","Fertilizers & Agro Chemicals","40941.89","-34.12","10.55","1.25","0.94","15.97","22.47","0.18","-133.91","-15.99"
"Jubilant Foodworks Ltd","Restaurants & Cafes","40933.76","102.51","41.97","18.25","6.96","32.80","40.54","0.19","13.06","6.05"
"Biocon Ltd","Biotechnology","40408.86","39.52","24.43","1.60","2.59","14.65","13.68","0.15","120.99","8.52"
"360 One Wam Ltd","Investment Banking & Brokerage","40390.87","50.22","43.59","11.71","13.81","46.21","-","1.47","21.54","22.50"
"Cochin Shipyard Ltd","Shipbuilding","40267.14","51.41","38.50","8.05","9.72","30.97","-","-","242.74","39.70"
"Bank of Maharashtra Ltd","Public Banks","40142.23","9.86","-18.96","2.02","1.71","2.14","3.47","2.47","52.34","5.90"
"L&T Finance Ltd","Consumer Finance","39364.56","16.97","-3.62","1.67","2.80","35.43","58.45","1.58","42.50","9.34"
"Sona BLW Precision Forgings Ltd","Auto Parts","39359.62","76.09","-4.18","14.06","12.27","43.19","56.82","0.46","30.62","8.83"
"Apar Industries Ltd","Electrical Components & Equipments","39263.52","47.59","33.31","10.13","2.42","23.64","-","0.52","26.25","210.39"
"Ajanta Pharma Ltd","Pharmaceuticals","39226.15","48.06","50.16","11.00","9.14","30.88","49.97","1.65","40.23","64.43"
"AIA Engineering Ltd","Industrial Machinery","38441.46","33.85","7.12","5.77","7.48","21.82","42.58","0.39","7.54","120.39"
"3M India Ltd","Stationery","38158.73","65.41","13.55","17.77","8.94","43.97","59.34","2.02","29.35","517.89"
"Deepak Nitrite Ltd","Commodity Chemicals","37868.85","46.70","20.62","7.85","4.83","29.32","43.13","0.27","-4.82","59.45"
"Gujarat Gas Ltd","Gas Distribution","37648.06","32.92","0.73","4.88","2.37","17.86","23.04","-","-25.17","16.61"
"Cholamandalam Financial Holdings Ltd","Diversified Financials","37500.10","21.16","88.63","1.69","1.44","32.83","-","0.03","37.37","94.39"
"KEI Industries Ltd","Cables","36654.35","63.12","6.32","11.64","4.50","40.76","60.04","0.09","21.60","64.39"
"Kaynes Technology India Ltd","Electrical Components & Equipments","36179.53","197.39","117.95","14.54","19.45","111.90","515.82","-","64.52","30.03"
"Ola Electric Mobility Ltd","Two Wheelers","36014.43","-22.73","-10.47","17.83","6.87","-","-","-","-7.63","-8.10"
"NLC India Ltd","Metals - Diversified","35844.56","19.33","14.46","1.85","2.36","10.86","6.37","-","32.84","13.37"
"CRISIL Ltd","Stock Exchanges & Ratings","35808.66","54.38","13.61","16.36","11.08","35.59","45.89","1.10","16.47","90.09"
"Mahindra and Mahindra Financial Services Ltd","Consumer Finance","35699.02","18.47","3.69","1.79","2.23","45.62","-","2.18","-6.80","15.66"
"Tata Investment Corporation Ltd","Asset Management","35650.46","92.61","3.46","1.19","79.12","86.78","151.79","0.40","52.84","76.08"
"Punjab & Sind Bank","Public Banks","35339.38","59.35","-14.38","2.28","3.24","25.72","20.21","0.38","-54.65","0.88"
"Aditya Birla Fashion and Retail Ltd","Retail - Apparel","34582.19","-55.07","34.66","7.32","2.43","24.54","25.78","-","-1576.36","-6.40"
"Godfrey Phillips India Ltd","FMCG - Tobacco","34526.45","39.10","116.98","8.14","7.15","27.38","118.96","0.84","27.89","169.83"
"Brainbees Solutions Ltd","Retail - Apparel","34473.83","-125.70","-2.22","9.09","5.24","217.59","-","-","54.11","-6.41"
"Dalmia Bharat Ltd","Cement","34336.22","41.57","-6.62","2.08","2.29","11.78","13.03","0.49","-20.23","44.06"
"Syngene International Ltd","Labs & Life Sciences Services","34307.45","67.27","21.25","8.06","9.59","30.89","32.92","0.15","9.65","12.70"
"New India Assurance Company Ltd","Insurance","34191.06","30.62","-6.23","1.21","0.78","13.54","-","-","6.54","6.77"
"Godrej Industries Ltd","Diversified Chemicals","34126.46","569.06","20.13","2.26","1.89","23.66","-","-","-93.85","1.78"
"IRB Infrastructure Developers Ltd","Construction & Engineering","33945.22","56.03","-16.17","2.47","4.14","13.26","8.37","0.85","362.69","1.00"
"Multi Commodity Exchange of India Ltd","Stock Exchanges & Ratings","33743.48","406.01","69.83","24.48","44.46","234.97","64.78","-","-44.21","16.30"
"Endurance Technologies Ltd","Auto Parts","33560.75","49.32","29.11","6.74","3.25","23.38","31.75","0.36","41.89","48.38"
"Aditya Birla Real Estate Ltd","Textiles","33469.81","662.38","61.63","8.17","7.32","78.54","-","0.17","-81.41","4.52"
"LIC Housing Finance Ltd","Home Financing","33430.08","7.02","-8.36","1.06","1.23","46.37","-","1.48","64.63","86.52"
"BASF India Ltd","Diversified Chemicals","33405.04","59.31","113.26","10.36","2.41","34.11","41.38","0.19","-","130.13"
"Metro Brands Ltd","Footwear","33043.17","80.10","13.58","17.45","13.61","43.26","56.00","0.41","14.04","15.18"
"Go Digit General Insurance Ltd","Insurance","32866.40","180.90","17.03","12.19","4.52","164.71","19.10","-","406.48","2.08"
"J K Cement Ltd","Cement","32517.57","41.12","3.20","6.11","2.78","16.85","16.60","-","86.71","102.35"
"Suven Pharmaceuticals Ltd","Pharmaceuticals","32502.85","108.25","100.30","15.85","29.20","67.87","90.67","-","-26.99","11.80"
"Central Depository Services (India) Ltd","Stock Exchanges & Ratings","32434.71","77.39","54.25","21.52","35.75","54.64","84.04","0.71","51.88","20.05"
"Apollo Tyres Ltd","Tires & Rubber","32409.20","18.82","6.30","2.33","1.27","7.90","9.42","1.18","64.64","27.11"
"Embassy Office Parks REIT","Real Estate","32216.06","33.42","9.12","1.38","8.10","15.31","12.43","7.81","90.54","10.17"
"Vedant Fashions Ltd","Textiles","31970.38","77.19","41.08","19.96","22.24","43.68","66.18","0.65","-3.51","17.06"
"Star Health and Allied Insurance Company Ltd","Insurance","31878.48","37.73","-5.56","4.99","2.27","26.87","24.34","-","35.46","14.48"
"Authum Investment & Infrastructure Ltd","Specialized Finance","31724.52","7.40","135.11","3.07","11.89","7.65","9.67","-","-0.45","252.28"
"KPR Mill Ltd","Textiles","31523.80","39.14","9.14","7.23","5.15","24.90","46.50","0.54","-0.75","23.56"
"Indraprastha Gas Ltd","Gas Distribution","31020.54","15.63","1.37","3.21","2.12","9.41","20.25","-","21.07","28.36"
"TVS Holdings Ltd","Auto Parts","30961.19","38.68","69.92","4.43","0.77","15.24","-","0.61","34.93","357.95"
"Brigade Enterprises Ltd","Real Estate","30769.83","68.13","29.02","8.65","6.08","25.23","92.13","0.15","54.69","19.56"
"Hindustan Copper Ltd","Mining - Copper","30625.65","103.71","-16.45","13.40","17.29","51.10","104.86","0.29","-0.05","3.05"
"Emami Ltd","FMCG - Personal Products","30304.01","41.88","55.37","12.33","8.36","30.45","38.90","1.15","13.72","16.49"
"Tata Chemicals Ltd","Diversified Chemicals","30290.52","113.02","6.60","1.31","1.88","15.16","10.04","1.26","-88.43","10.52"
"Himadri Speciality Chemical Ltd","Commodity Chemicals","30194.48","73.51","74.66","9.92","7.14","43.72","74.60","0.08","75.06","8.88"
"Piramal Pharma Ltd","Pharmaceuticals","30097.43","1688.97","61.43","3.80","3.58","24.98","29.96","0.05","109.15","0.14"
"Bayer Cropscience Ltd","Fertilizers & Agro Chemicals","29937.73","40.43","17.99","10.51","5.77","27.79","31.46","2.10","-2.33","164.77"
"Whirlpool of India Ltd","Home Electronics & Appliances","29809.17","137.34","54.00","7.76","4.26","51.03","48.86","0.21","-0.90","17.11"
"Bandhan Bank Ltd","Private Banks","29785.25","13.36","2.26","1.38","1.42","4.28","2.01","0.81","1.58","13.84"
"Sun Tv Network Ltd","TV Channels & Broadcasters","29751.42","15.45","23.79","2.82","6.20","7.82","13.70","2.22","12.81","48.85"
"J B Chemicals and Pharmaceuticals Ltd","Pharmaceuticals","29603.70","53.57","6.61","10.13","8.41","31.60","36.98","0.64","34.57","35.66"
"Radico Khaitan Ltd","Alcoholic Beverages","29350.93","111.95","26.10","12.03","7.10","57.61","160.50","0.14","18.96","19.61"
"Poonawalla Fincorp Ltd","Consumer Finance","29297.52","17.41","-23.69","3.59","5.34","19.88","-","0.53","145.13","21.88"
"Sundram Fasteners Ltd","Auto Parts","29286.64","56.14","30.53","8.51","5.12","31.79","49.75","0.49","5.46","24.83"
"Delhivery Ltd","Logistics","28761.81","-115.42","-13.75","3.15","3.34","49.06","60.88","-","76.87","-3.40"
"Inox Wind Ltd","Heavy Electrical Equipments","28297.54","-699.74","46.54","12.91","15.73","103.55","-","-","95.20","-0.31"
"Gillette India Ltd","FMCG - Personal Products","28195.17","68.48","34.00","28.51","10.60","42.45","60.95","1.50","15.75","126.35"
"Global Health Ltd","Hospitals & Diagnostic Centres","28146.45","77.99","-26.33","9.88","11.81","45.28","82.63","-","33.19","13.45"
"Motherson Sumi Wiring India Ltd","Cables","28113.83","44.04","-8.64","16.77","3.37","27.55","35.54","1.26","31.06","1.44"
"Mangalore Refinery and Petrochemicals Ltd","Oil & Gas - Refining & Marketing","27734.88","7.71","-29.10","2.09","0.31","5.11","3.94","1.90","35.46","20.52"
"NBCC (India) Ltd","Construction & Engineering","27696.60","68.97","22.90","11.48","2.60","39.54","379.15","0.41","50.59","1.49"
"Carborundum Universal Ltd","Industrial Machinery","27692.84","60.04","13.10","8.48","5.74","31.94","46.04","0.27","11.30","24.26"
"ICICI Securities Ltd","Investment Banking & Brokerage","27617.52","16.30","17.51","7.09","5.47","13.97","-","3.40","52.25","52.43"
"Gland Pharma Ltd","Pharmaceuticals","27600.86","35.73","-5.72","3.16","4.73","17.38","27.69","1.19","-1.22","46.90"
"Emcure Pharmaceuticals Ltd","Pharmaceuticals","27478.83","55.16","6.92","8.80","4.09","23.07","25.04","-","-6.44","27.52"
"Dr. Lal PathLabs Ltd","Hospitals & Diagnostic Centres","27461.15","76.77","45.71","14.57","11.96","39.50","51.30","0.55","49.65","42.88"
"Timken India Ltd","Industrial Machinery","27437.91","69.97","20.17","11.35","9.30","43.99","80.72","0.07","0.36","52.13"
"Angel One Ltd","Investment Banking & Brokerage","27192.70","24.16","6.75","8.95","6.35","12.72","-","1.07","25.60","134.45"
"Grindwell Norton Ltd","Industrial Machinery","26588.30","69.31","17.24","12.86","9.65","44.33","72.26","0.71","6.01","34.65"
"ZF Commercial Vehicle Control Systems India Ltd","Auto Parts","26518.67","65.24","-1.16","9.50","6.78","38.11","137.50","0.12","27.95","214.29"
"Sumitomo Chemical India Ltd","Commodity Chemicals","26322.45","71.23","29.19","10.77","8.95","45.24","34.76","1.12","-26.41","7.40"
"SKF India Ltd","Industrial Machinery","26228.32","47.53","16.01","9.78","5.62","30.82","42.03","2.45","5.13","111.70"
"Hatsun Agro Product Ltd","FMCG - Foods","26194.08","98.00","14.81","16.66","3.27","31.29","-","0.51","60.01","12.00"
"Aegis Logistics Ltd","Oil & Gas - Storage & Transportation","26130.20","45.91","45.67","5.86","3.61","24.63","39.86","0.44","22.95","16.21"
"KEC International Ltd","Construction & Engineering","26122.21","75.33","33.14","6.38","1.31","21.18","83.96","0.39","97.00","13.49"
"Crompton Greaves Consumer Electricals Ltd","Home Electronics & Appliances","26048.51","59.21","31.74","7.55","3.53","33.58","30.88","0.74","-5.75","6.88"
"Narayana Hrudayalaya Ltd","Hospitals & Diagnostic Centres","25893.20","32.81","1.54","8.97","5.08","21.14","24.28","0.32","30.19","38.62"
"Pfizer Ltd","Pharmaceuticals","25608.89","46.45","35.10","7.12","10.75","28.65","99.71","0.63","-11.64","120.50"
"CESC Ltd","Power Generation","25534.46","18.55","34.19","2.13","1.48","8.86","10.86","2.35","2.50","10.33"
"Five-Star Business Finance Ltd","Consumer Finance","25427.31","30.42","25.32","4.89","11.58","26.37","-","-","38.25","28.64"
"Ratnamani Metals and Tubes Ltd","Building Products - Pipes","25177.40","40.43","24.20","7.83","4.91","25.88","49.25","0.39","22.00","88.85"
"Anant Raj Ltd","Real Estate","25101.62","96.21","109.00","6.81","16.51","68.51","-","0.10","58.30","7.83"
"Laurus Labs Ltd","Pharmaceuticals","25084.39","156.24","8.19","6.09","4.95","34.24","37.68","0.17","-79.71","2.98"
"Nuvama Wealth Management Ltd","Diversified Financials","24942.34","39.89","32.90","8.60","7.89","20.12","-","-","103.26","177.73"
"Poly Medicure Ltd","Health Care Equipment & Supplies","24821.76","96.11","58.20","16.88","17.27","58.59","93.29","-","44.01","26.91"
"Jyoti CNC Automation Ltd","Computer Hardware","24627.65","163.25","39.60","18.05","18.31","79.84","-","-","761.11","11.59"
"EIH Ltd","Hotels Resorts & Cruise Lines","24601.83","38.49","-17.73","6.02","9.00","22.66","34.57","0.31","103.17","10.22"
"Natco Pharma Ltd","Pharmaceuticals","24597.16","17.72","36.55","4.20","5.96","12.54","20.30","-","95.82","76.79"
"Shyam Metalics and Energy Ltd","Iron & Steel","24459.05","23.64","44.63","2.37","1.83","14.13","13.63","0.51","16.13","38.82"
"Amara Raja Energy & Mobility Ltd","Batteries","24346.95","26.06","27.74","3.58","2.06","13.59","19.23","0.74","23.44","52.81"
"Triveni Turbine Ltd","Heavy Electrical Equipments","24328.71","90.40","44.17","25.31","14.17","61.18","89.77","0.47","40.97","8.47"
"PNB Housing Finance Ltd","Home Financing","23778.22","15.77","18.86","1.59","3.37","38.00","-","-","26.73","65.05"
"Piramal Enterprises Ltd","Diversified Financials","23146.01","-13.75","23.27","0.87","2.24","-","875.75","0.97","-124.58","-72.67"
"Tejas Networks Ltd","Telecom Equipments","23144.03","367.48","45.40","7.35","9.13","73.79","-","-","240.26","2.68"
"CPSE ETF","Equity","23025.67","-","14.51","-","-","-","-","0.00","-","-"
"Computer Age Management Services Ltd","Diversified Financials","22890.45","64.73","43.42","25.00","19.45","41.01","57.01","1.00","23.68","72.07"
"Firstsource Solutions Ltd","Outsourced services","22582.52","43.87","63.91","6.10","3.54","23.17","35.02","1.08","0.19","7.39"
"Kansai Nerolac Paints Ltd","Paints","22542.15","19.02","2.24","4.03","2.64","11.93","24.96","1.34","150.31","14.66"
"ITI Ltd","Telecom Equipments","22479.95","-39.51","-16.28","12.60","17.18","-","23.08","-","-55.83","-5.96"
"Alembic Pharmaceuticals Ltd","Pharmaceuticals","22421.96","36.41","19.81","4.65","3.58","23.74","27.92","0.96","80.07","31.33"
"Atul Ltd","Diversified Chemicals","22381.92","69.29","29.03","4.33","4.67","31.46","33.53","0.26","-37.04","109.41"
"Bikaji Foods International Ltd","FMCG - Foods","22284.01","83.87","73.13","18.32","9.46","53.11","91.07","-","93.72","10.65"
"Gujarat State Petronet Ltd","Gas Distribution","22057.84","13.29","28.67","1.53","1.26","6.66","7.87","1.28","1.10","29.41"
"Jindal SAW Ltd","Building Products - Pipes","21873.02","13.04","39.56","2.33","1.04","7.45","8.44","0.58","160.43","26.22"
"KIOCL Ltd","Iron & Steel","21824.34","-262.00","-17.50","11.38","11.46","-","208.39","-","14.70","-1.37"
"Krishna Institute of Medical Sciences Ltd","Hospitals & Diagnostic Centres","21801.57","70.30","38.80","10.42","8.68","35.25","41.84","-","-7.79","7.75"
"Aditya Birla Sun Life Amc Ltd","Asset Management","21721.71","27.84","47.37","6.85","13.24","20.83","31.72","1.79","30.83","27.09"
"Jupiter Wagons Ltd","Rail","21713.08","65.49","28.73","13.31","5.92","42.68","-","0.11","165.99","8.29"
"Kajaria Ceramics Ltd","Building Products - Ceramics","21573.13","51.11","14.06","8.06","4.66","28.68","35.86","0.89","22.51","26.51"
"Castrol India Ltd","Commodity Chemicals","21462.97","24.84","4.25","10.12","4.16","15.88","25.16","-","6.01","8.74"
"Amber Enterprises India Ltd","Home Electronics & Appliances","21429.21","161.26","73.42","10.13","3.16","40.79","22.21","-","-15.47","39.44"
"Aster DM Healthcare Ltd","Hospitals & Diagnostic Centres","21326.71","164.97","-16.57","4.24","5.72","37.99","135.14","0.47","-69.57","2.59"
"Affle (India) Ltd","Advertising","21020.58","70.71","41.15","8.41","11.06","47.86","80.15","-","18.49","21.76"
"Devyani International Ltd","Restaurants & Cafes","20853.93","441.17","6.06","15.46","5.81","40.92","35.20","-","-82.17","0.39"
"Signatureglobal (India) Ltd","Real Estate","20838.44","1289.51","20.44","33.11","15.73","390.82","225.52","-","122.76","1.22"
"Kalpataru Projects International Ltd","Power Infrastructure","20746.81","40.71","6.37","4.06","1.05","12.62","24.61","0.63","10.81","31.37"
"Garden Reach Shipbuilders & Engineers Ltd","Shipbuilding","20666.33","57.85","107.69","12.35","5.31","31.80","-","0.52","56.60","31.19"
"JBM Auto Ltd","Auto Parts","20641.22","115.42","-1.18","17.32","4.10","36.99","100.79","0.09","43.79","15.12"
"Elgi Equipments Ltd","Industrial Machinery","20516.86","65.78","5.70","12.73","6.26","37.00","71.31","0.31","-15.89","9.84"
"Concord Biotech Ltd","Pharmaceuticals","20454.56","66.39","23.48","13.40","19.40","42.98","77.05","0.45","28.33","29.45"
"Vinati Organics Ltd","Specialty Chemicals","20179.03","62.48","18.72","8.20","10.41","39.51","60.81","0.36","-23.28","31.29"
"Nexus Select Trust","Real Estate","20173.74","33.70","8.30","1.35","10.07","17.02","16.57","1.57","-","7.90"
"Jai Balaji Industries Ltd","Iron & Steel","20171.70","22.93","10.55","13.41","3.04","18.33","24.05","-","1159.40","56.91"
"Mindspace Business Parks REIT","Real Estate","20155.50","38.39","8.44","1.35","8.14","15.60","13.20","1.40","85.12","8.85"
"Ircon International Ltd","Construction & Engineering","20116.69","21.64","-3.80","3.41","1.56","11.37","-","1.45","21.48","9.88"
"CIE Automotive India Ltd","Auto Parts","20102.41","17.87","11.09","3.36","2.07","10.88","14.53","0.94","926.02","29.66"
"Finolex Industries Ltd","Building Products - Pipes","19912.80","42.05","28.56","3.53","4.39","22.88","56.36","0.78","89.24","7.66"
"Century Plyboards (India) Ltd","Wood Products","19783.39","60.61","39.31","8.97","5.03","36.27","78.61","-","-13.25","14.60"
"Ramco Cements Limited","Cement","19729.23","54.81","4.87","2.72","2.10","15.29","10.35","0.30","14.44","15.23"
"Cyient Ltd","Software Services","19711.26","28.87","-7.60","4.33","2.73","15.17","27.15","1.69","32.39","61.66"
"Finolex Cables Ltd","Cables","19667.24","30.18","31.47","3.98","3.69","19.14","34.09","-","29.23","42.61"
"PTC Industries Ltd","Iron & Steel","19632.99","465.02","70.48","30.41","72.64","228.49","-","-","55.47","30.35"
"Blue Dart Express Ltd","Logistics","19578.63","65.04","30.46","14.32","3.68","22.33","23.12","0.30","-18.76","126.86"
"Bombay Burmah Trading Corporation Ltd","Tea & Coffee","19540.32","28.55","78.35","2.94","1.12","6.57","9.59","0.04","140.83","98.03"
"Chambal Fertilisers and Chemicals Ltd","Fertilizers & Agro Chemicals","19521.78","15.30","30.86","2.66","1.07","8.11","5.87","1.54","25.71","31.24"
"Sobha Ltd","Real Estate","19354.65","394.11","8.31","7.70","6.01","51.82","29.89","0.15","-52.87","5.04"
"Relaxo Footwears Ltd","Footwear","19310.17","96.32","-4.52","9.65","6.56","44.17","82.13","0.39","29.78","8.05"
"Techno Electric & Engineering Company Ltd","Construction & Engineering","19187.10","71.47","70.51","8.87","11.71","52.13","-","0.39","45.26","24.95"
"Schneider Electric Infrastructure Ltd","Heavy Electrical Equipments","19166.58","111.41","9.14","41.03","8.65","64.78","99.87","-","39.15","7.19"
"R R Kabel Ltd","Cables","19049.47","63.90","3.03","10.42","2.86","36.29","56.19","0.36","44.13","28.60"
"NCC Ltd","Construction & Engineering","19036.31","26.79","25.03","2.79","0.91","10.18","14.00","0.73","14.99","11.32"
"Jyothy Labs Ltd","FMCG - Household Products","19003.05","51.44","24.16","10.50","6.76","35.05","41.50","0.68","54.11","10.06"
"Chalet Hotels Ltd","Hotels Resorts & Cruise Lines","18912.10","67.99","-2.37","9.22","13.16","35.71","27.43","-","51.56","13.55"
"Cello World Ltd","FMCG - Household Products","18906.65","57.11","-2.97","13.80","9.34","36.16","81.78","0.17","19.13","16.26"
"Jubilant Pharmova Ltd","Pharmaceuticals","18740.81","243.07","73.76","3.46","2.76","25.99","19.29","0.42","226.77","4.85"
"Welspun Corp Ltd","Iron & Steel","18707.20","16.85","29.60","3.25","1.05","9.31","14.32","-","436.49","42.45"
"V Guard Industries Ltd","Electrical Components & Equipments","18643.87","72.38","24.09","10.28","3.81","41.15","47.47","0.33","35.75","5.94"
"IIFL Finance Ltd","Investment Banking & Brokerage","18533.84","10.51","6.93","1.54","1.77","22.84","-","-","18.96","45.61"
"Aarti Industries Ltd","Specialty Chemicals","18497.54","44.42","-29.15","3.50","2.90","21.94","15.36","0.20","-18.05","11.49"
"Aadhar Housing Finance Ltd","Consumer Finance","18485.46","24.66","30.54","4.15","7.15","31.79","-","-","37.61","18.99"
"Astrazeneca Pharma India Ltd","Pharmaceuticals","18480.38","114.42","40.97","25.96","13.72","76.29","663.09","0.32","62.66","64.60"
"Bata India Ltd","Footwear","18389.72","70.05","6.56","12.04","5.19","23.71","40.59","0.84","-18.73","20.42"
"Aptus Value Housing Finance India Ltd","Home Financing","18140.22","29.65","13.42","4.81","12.80","28.65","-","0.55","21.40","12.28"
"Eris Lifesciences Ltd","Pharmaceuticals","18072.81","46.11","50.63","5.61","8.69","28.75","37.19","-","2.53","28.82"
"HFCL Ltd","Telecom Equipments","18020.20","54.64","31.41","4.51","3.95","27.40","-","-","7.05","2.34"
"Karur Vysya Bank Ltd","Private Banks","17958.73","11.19","14.87","1.79","1.82","5.59","6.08","1.07","44.69","19.98"
"Ramkrishna Forgings Ltd","Rail","17932.66","52.52","32.73","6.68","4.50","21.72","28.87","0.20","29.17","20.04"
"Great Eastern Shipping Company Ltd","Oil & Gas - Storage & Transportation","17873.02","6.84","21.42","1.44","3.02","3.82","6.36","3.50","1.52","183.10"
"Kfin Technologies Ltd","Business Support Services","17793.04","72.31","65.44","15.59","20.64","44.85","61.51","0.55","24.45","14.46"
"LMW Ltd","Industrial Machinery","17728.65","47.45","-2.64","6.56","3.66","28.39","126.11","0.45","-2.70","349.77"
"Tbo Tek Ltd","Tour & Travel Services","17693.16","87.53","18.49","32.48","12.49","60.43","78.12","-","40.14","19.39"
"Newgen Software Technologies Ltd","Software Services","17677.75","70.26","71.68","14.45","13.68","50.50","62.82","0.32","41.78","18.03"
"PCBL Ltd","Commodity Chemicals","17555.79","35.76","76.31","5.40","2.72","20.59","15.88","1.18","66.68","13.01"
"Neuland Laboratories Ltd","Pharmaceuticals","17475.14","58.24","78.56","13.62","11.12","36.74","66.91","0.10","83.50","233.88"
"Akzo Nobel India Ltd","Specialty Chemicals","17458.33","40.92","58.32","13.13","4.37","25.45","35.96","1.70","27.31","93.68"
"Sarda Energy & Minerals Ltd","Iron & Steel","17280.78","33.04","116.27","4.33","4.26","17.80","22.97","-","-12.14","14.84"
"Waaree Renewable Technologies Ltd","Construction & Engineering","17243.42","116.41","-33.81","74.32","19.60","81.44","135.99","0.06","167.09","14.23"
"Doms Industries Ltd","Office Supplies","17227.89","112.50","57.15","20.45","11.13","60.54","94.35","-","53.77","26.19"
"Anand Rathi Wealth Ltd","Asset Management","17203.54","76.47","3.06","26.00","22.88","53.03","61.98","0.34","33.23","53.87"
"Asahi India Glass Ltd","Auto Parts","17159.72","52.32","22.20","7.36","3.92","25.06","26.26","0.28","-10.11","13.49"
"Trident Ltd","Textiles","17089.25","48.89","-13.15","3.96","2.49","18.72","59.48","1.07","-20.70","0.69"
"DCM Shriram Ltd","Diversified Chemicals","16987.82","38.00","19.47","2.60","1.50","16.95","21.40","0.64","-50.91","27.27"
"BEML Ltd","Rail","16944.94","60.13","17.62","6.35","4.14","34.92","37.02","0.51","100.68","67.26"
"Clean Science and Technology Ltd","Specialty Chemicals","16905.58","69.28","21.93","14.05","20.30","44.41","71.30","0.31","-17.34","22.97"
"Sonata Software Ltd","IT Services & Consulting","16895.50","54.77","-9.04","12.01","1.93","24.42","60.22","1.87","-31.81","11.12"
"Kirloskar Oil Engines Ltd","Industrial Machinery","16841.85","38.11","24.07","6.33","2.84","19.20","-","0.52","32.78","30.51"
"Zen Technologies Ltd","Electronic Equipments","16737.45","130.88","82.13","35.90","36.61","83.81","1247.20","0.05","190.91","15.64"
"Indian Energy Exchange Ltd","Power Trading & Consultancy","16638.56","47.43","25.66","17.11","29.62","31.87","55.75","1.34","15.12","3.94"
"Birlasoft Ltd","IT Services & Consulting","16522.75","26.49","-9.45","5.43","3.07","16.13","23.00","1.09","89.34","22.65"
"Action Construction Equipment Ltd","Heavy Machinery","16495.29","50.27","-8.21","13.39","5.52","33.35","38.06","0.14","91.22","27.56"
"Navin Fluorine International Ltd","Specialty Chemicals","16418.10","60.70","0.98","6.89","7.56","34.12","21.89","0.45","-27.91","54.58"
"HBL Power Systems Ltd","Batteries","16412.71","58.43","30.02","13.45","7.23","37.69","60.10","-","184.73","10.13"
"Gravita India Ltd","Metals - Lead","16411.77","68.61","147.48","19.30","5.07","46.32","387.07","0.22","18.94","34.65"
"Wockhardt Ltd","Pharmaceuticals","16364.82","-35.35","86.30","4.47","5.68","171.25","74.73","-","19.77","-31.13"
"Swan Energy Ltd","Textiles","16320.13","54.19","-16.35","2.03","3.20","21.17","630.85","-","866.91","10.43"
"UTI Asset Management Company Ltd","Asset Management","16263.38","21.24","36.91","3.27","9.33","16.06","50.02","3.68","74.86","60.23"
"Reliance Power Ltd","Power Generation","16252.66","-7.86","43.73","1.40","1.57","20.54","5.12","-","-304.40","-5.34"
"CreditAccess Grameen Ltd","Consumer Finance","16175.47","11.19","-31.56","2.46","3.13","18.44","-","0.10","73.11","90.86"
"Capri Global Capital Ltd","Consumer Finance","15819.87","56.62","-16.11","4.12","6.84","56.34","-","0.08","29.74","3.39"
"Indegene Ltd","Business Support Services","15605.89","46.35","14.42","10.92","5.66","25.87","30.74","-","26.23","15.18"
"PVR INOX Ltd","Theatres","15521.41","-485.04","10.28","2.12","2.48","11.90","7.84","-","92.26","-3.26"
"UTI S&P BSE Sensex ETF","Equity","15503.00","-","11.14","-","-","-","-","0.00","-","-"
"Netweb Technologies India Ltd","IT Services & Consulting","15476.63","203.88","65.55","36.61","21.03","133.40","842.50","0.07","53.51","14.15"
"Mahanagar Gas Ltd","Gas Distribution","15474.03","12.12","13.21","3.01","2.39","7.02","9.87","1.92","61.56","129.22"
"Zensar Technologies Ltd","IT Services & Consulting","15473.72","23.27","18.98","4.34","3.06","13.86","24.10","1.32","102.87","29.36"
"Sanofi India Ltd","Pharmaceuticals","15420.38","25.58","30.22","15.19","5.26","16.95","66.93","2.49","-","261.78"
"KSB Ltd","Industrial Machinery","15380.72","73.68","-4.63","11.81","6.72","45.06","108.70","0.40","14.23","11.99"
"Titagarh Rail Systems Ltd","Rail","15343.38","53.62","14.84","6.92","3.94","30.61","178.85","0.07","106.71","22.51"
"PG Electroplast Ltd","Electronic Equipments","15326.16","113.78","203.51","14.76","5.55","56.69","82.24","0.00","56.80","5.52"
"G R Infraprojects Ltd","Construction & Engineering","15211.86","11.49","16.42","2.00","1.62","7.21","-","-","-8.99","136.90"
"Welspun Living Ltd","Textiles","15204.38","22.32","7.56","3.30","1.55","11.07","28.53","-","245.39","6.95"
"Tata Teleservices (Maharashtra) Ltd","Telecom Services","15164.37","-12.34","-0.17","-0.79","12.56","64.65","25.87","-","-7.31","-6.28"
"Fine Organic Industries Ltd","Specialty Chemicals","15081.64","36.62","14.33","7.85","6.87","23.29","23.77","0.20","-33.36","134.34"
"Strides Pharma Science Ltd","Pharmaceuticals","15067.81","-213.36","94.23","7.27","3.63","36.48","21.49","-","65.55","-7.75"
