Name,Sub-Sector,Market Cap,PE Ratio,6M Return,PB Ratio,PS Ratio,EV/EBITDA Ratio,Price / CFO,Dividend Yield,1Y Historical EPS Growth,Earnings Per Share
"Grasim Industries Ltd","Cement","182366.15","32.42","19.19","1.31","1.38","12.26","-","0.36","-17.46","85.25"
"Interglobe Aviation Ltd","Airlines","177337.57","21.70","23.18","88.83","2.49","10.51","8.36","-","2770.15","211.85"
"LTIMindtree Ltd","IT Services & Consulting","175990.31","38.41","27.09","8.79","4.86","23.77","31.04","1.09","3.87","154.85"
"ABB India Ltd","Heavy Electrical Equipments","175453.78","141.26","26.89","29.51","16.32","95.37","129.82","0.29","22.22","58.61"
"SBI Life Insurance Company Ltd","Insurance","171514.35","90.57","16.03","11.50","1.28","77.42","5.89","0.16","10.01","18.92"
"Tech Mahindra Ltd","IT Services & Consulting","166451.86","70.60","40.82","6.13","3.15","29.80","26.10","2.12","-51.33","26.76"
"HDFC Life Insurance Company Ltd","Insurance","160483.16","101.95","23.09","10.94","1.57","151.39","14.97","0.27","14.02","7.32"
"Pidilite Industries Ltd","Diversified Chemicals","160391.27","92.74","8.81","18.61","12.81","57.22","58.88","0.51","35.78","34.01"
"Hindalco Industries Ltd","Metals - Aluminium","158168.13","15.58","19.57","1.49","0.73","7.75","6.57","0.50","0.04","45.18"
"Divi's Laboratories Ltd","Labs & Life Sciences Services","157290.13","98.31","58.53","11.59","19.22","60.24","124.73","0.51","-12.28","60.27"
"Power Finance Corporation Ltd","Specialized Finance","153108.22","7.75","14.74","1.14","1.67","31.06","-","2.91","24.37","59.88"
"Tata Power Company Ltd","Power Transmission & Distribution","145004.51","39.23","6.04","3.78","2.23","13.71","11.51","0.44","10.78","11.56"
"Gail (India) Ltd","Gas Distribution","144421.62","14.59","10.52","1.87","1.06","9.70","11.48","2.50","77.41","15.06"
"Bharat Petroleum Corporation Ltd","Oil & Gas - Refining & Marketing","143886.53","5.36","9.92","1.90","0.32","3.99","4.00","6.24","1158.34","62.96"
"Ambuja Cements Ltd","Cement","140866.03","39.38","-7.20","2.77","4.08","17.84","24.95","0.31","31.44","17.10"
"Samvardhana Motherson International Ltd","Auto Parts","140282.61","51.65","56.12","4.97","1.42","16.40","18.53","0.39","81.61","4.01"
"REC Limited","Specialized Finance","140219.18","9.91","22.55","2.02","2.95","32.41","-","3.00","26.67","53.72"
"Britannia Industries Ltd","FMCG - Foods","139180.93","65.04","21.56","35.09","8.20","41.19","54.09","1.27","-7.84","88.84"
"Godrej Consumer Products Ltd","FMCG - Personal Products","134361.08","-239.70","10.80","10.66","9.35","180.73","64.91","0.76","-132.92","-5.48"
"Eicher Motors Ltd","Trucks & Buses","131835.53","32.95","7.69","7.31","7.30","22.55","35.40","1.06","37.21","146.21"
"TVS Motor Company Ltd","Two Wheelers","129968.51","77.07","40.88","17.30","3.31","27.49","-","0.29","26.92","35.50"
"Bank of Baroda Ltd","Public Banks","127096.57","6.77","-5.94","1.05","0.90","1.01","-","3.10","25.91","36.20"
"Shriram Finance Ltd","Consumer Finance","124583.07","16.91","36.65","2.51","3.42","29.36","-","1.36","5.35","196.38"
"Cipla Ltd","Pharmaceuticals","123057.36","29.86","12.47","4.59","4.64","17.25","29.77","0.85","47.05","51.06"
"Adani Energy Solutions Ltd","Power Infrastructure","122236.52","107.48","-2.44","8.92","7.10","24.94","20.25","-","-10.11","10.20"
"Cholamandalam Investment and Finance Company Ltd","Consumer Finance","120914.43","35.35","26.20","6.17","6.23","52.25","-","0.14","26.88","41.12"
"JSW Energy Ltd","Power Generation","119459.22","69.34","11.96","5.68","9.99","24.93","19.16","0.27","16.55","10.50"
"CG Power and Industrial Solutions Ltd","Heavy Electrical Equipments","118549.54","83.08","45.73","39.27","13.51","64.13","298.62","0.17","44.09","9.34"
"Punjab National Bank","Public Banks","117561.32","12.91","-23.15","1.06","0.95","-","-","1.40","171.98","8.27"
"Torrent Pharmaceuticals Ltd","Pharmaceuticals","114817.62","69.32","30.89","16.75","10.56","33.54","35.15","0.83","33.02","48.94"
"Bajaj Holdings and Investment Ltd","Asset Management","114680.17","15.78","29.53","1.82","14.95","16.40","59.08","1.27","49.82","652.98"
"Bajaj Housing Finance Ltd","Consumer Finance","113745.83","65.70","-17.22","9.30","14.93","83.06","-","-","18.89","2.58"
"Havells India Ltd","Electrical Components & Equipments","113645.73","89.43","16.89","15.26","6.03","52.07","58.19","0.50","18.53","20.28"
"Macrotech Developers Ltd","Real Estate","113178.74","73.06","-4.86","6.45","10.81","42.86","45.05","0.20","213.18","15.82"
"Dr Reddy's Laboratories Ltd","Pharmaceuticals","111573.75","20.00","11.32","3.95","3.86","12.15","24.56","0.60","23.61","334.66"
"United Spirits Ltd","Alcoholic Beverages","108753.50","77.24","28.92","15.27","9.39","48.53","97.28","0.60","23.77","19.36"
"Bosch Ltd","Auto Parts","108652.06","43.61","26.41","9.01","5.94","28.76","86.73","1.02","74.77","844.69"
"ICICI Prudential Life Insurance Company Ltd","Insurance","108277.58","127.28","29.17","9.84","1.18","95.17","-","0.08","4.45","5.91"
"Mankind Pharma Ltd","Pharmaceuticals","106050.50","55.44","13.10","11.07","9.98","36.37","49.27","-","49.23","47.75"
"Hero MotoCorp Ltd","Two Wheelers","104834.58","27.99","21.58","5.88","2.71","16.98","21.29","2.67","33.22","187.35"
"Polycab India Ltd","Electrical Components & Equipments","103015.28","57.74","26.06","12.50","5.64","37.24","79.47","0.44","40.02","118.94"
"Info Edge (India) Ltd","Online Services","102785.38","178.70","37.05","3.25","34.84","101.01","146.36","0.28","634.63","44.57"
"Solar Industries India Ltd","Commodity Chemicals","101936.14","121.94","32.26","29.74","16.67","72.63","72.50","0.08","10.40","92.38"
"Indusind Bank Ltd","Private Banks","101911.77","11.35","-11.46","1.61","1.85","5.22","-","1.26","20.32","115.52"
"Zydus Lifesciences Ltd","Pharmaceuticals","101196.95","26.22","4.79","4.58","5.10","18.13","31.35","0.30","98.59","38.24"
"Indian Overseas Bank","Public Banks","100919.97","37.86","-16.05","3.66","3.39","21.84","-","-","26.70","1.41"
"Dabur India Ltd","FMCG - Personal Products","100702.73","54.65","12.26","9.77","7.81","34.76","50.01","0.97","7.81","10.41"
"Tata Consumer Products Ltd","Tea & Coffee","100627.29","87.48","-12.06","5.77","6.51","46.67","51.96","0.73","-6.03","12.08"
"Apollo Hospitals Enterprise Ltd","Hospitals & Diagnostic Centres","100453.71","111.79","11.99","13.72","5.24","41.84","52.31","0.23","9.71","62.50"
"ICICI Lombard General Insurance Company Ltd","Insurance","100156.16","52.20","20.07","8.21","4.86","37.14","41.61","0.54","10.76","39.00"
"Cummins India Ltd","Industrial Machinery","99218.20","57.67","14.42","15.01","10.31","40.42","77.19","1.06","40.10","62.07"
"Indus Towers Ltd","Telecom Infrastructure","99013.09","16.40","7.30","3.66","3.29","7.45","8.55","-","195.89","22.40"
"HDFC Asset Management Company Ltd","Asset Management","98326.52","50.61","26.19","13.90","31.08","38.89","60.89","1.52","36.47","91.01"
"Lupin Ltd","Pharmaceuticals","98159.76","51.27","34.19","6.83","4.87","25.22","26.91","0.37","344.56","42.05"
"Oracle Financial Services Software Ltd","Software Services","97123.24","43.76","48.52","12.36","14.46","29.32","54.24","2.14","22.58","256.47"
"Rail Vikas Nigam Ltd","Specialized Finance","97088.96","61.67","76.28","11.10","4.19","37.83","32.86","-","17.33","7.55"
"Indian Hotels Company Ltd","Hotels Resorts & Cruise Lines","96651.05","76.76","16.00","9.54","13.90","41.82","49.95","0.26","25.45","8.85"
"Suzlon Energy Ltd","Renewable Energy Equipment & Services","96386.43","145.96","72.90","24.59","14.66","94.83","1211.95","-","-80.00","0.51"
"Jindal Steel And Power Ltd","Iron & Steel","96012.81","16.17","3.41","2.15","1.90","10.45","15.98","0.21","87.88","59.17"
"Torrent Power Ltd","Power Transmission & Distribution","94539.72","51.57","33.21","7.50","3.43","21.48","22.20","0.81","-13.42","38.14"
"Mazagon Dock Shipbuilders Ltd","Shipbuilding","94118.64","48.59","114.84","15.07","8.91","31.74","137.65","-","73.09","96.04"
"Canara Bank Ltd","Public Banks","93300.72","6.11","-14.25","1.00","0.67","-","6.20","3.13","35.75","16.84"
"Max Healthcare Institute Ltd","Hospitals & Diagnostic Centres","92493.50","87.45","25.51","11.00","15.72","55.50","82.45","0.16","-4.27","10.89"
"Dixon Technologies (India) Ltd","Home Electronics & Appliances","92091.81","250.42","96.78","53.19","5.20","125.42","157.61","-","43.34","61.61"
